--------------------2024-May-21 07:50:09------------------------------------
2024-May-21 09:17:58 |BANKNIFTY24522-48200-48100PE |TRDPARITY:88 |QTY:2 |ParityWas:90 |OpnCls:2 |OrdNumL1:1700000001866674 |OrdNumL2:1800000001827309 |OrdNumL3:1600000001778454 |OrdNumL4:1500000001833189 |M2M:1496.70
2024-May-21 09:18:04 |BANKNIFTY24522-47400-48200CE |TRDPARITY:142 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1500000001934407 |OrdNumL2:1500000001934423 |OrdNumL3:1700000001962342 |OrdNumL4:1700000001962343 |M2M:1488.90
2024-May-21 09:18:07 |BANKNIFTY24522-47800-48200CE |TRDPARITY:115 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000001974770 |OrdNumL2:1500000001974780 |OrdNumL3:1700000002001715 |OrdNumL4:1700000002001716 |M2M:1484.70
2024-May-21 09:18:16 |BANKNIFTY24522-47800-48200CE |TRDPARITY:110 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000002099184 |OrdNumL2:1500000002099189 |OrdNumL3:1700000002139735 |OrdNumL4:1700000002139736 |M2M:1479.00
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48000CE |TRDPARITY:248 |QTY:2 |ParityWas:235 |OpnCls:1 |OrdNumL1:1600000002189350 |OrdNumL2:1500000002240339 |OrdNumL3:1700000002297689 |OrdNumL4:1800000002265238 |M2M:1518.00
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48200CE |TRDPARITY:195 |QTY:2 |ParityWas:230 |OpnCls:1 |OrdNumL1:1600000002189385 |OrdNumL2:1500000002240470 |OrdNumL3:1700000002297792 |OrdNumL4:1800000002265365 |M2M:1544.10
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48100CE |TRDPARITY:110 |QTY:2 |ParityWas:245 |OpnCls:1 |OrdNumL1:1600000002189347 |OrdNumL2:1600000002189896 |OrdNumL3:1800000002265214 |OrdNumL4:1800000002265222 |M2M:1543.50
2024-May-21 09:18:26 |BANKNIFTY24522-47800-48000CE |TRDPARITY:55 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1500000002245305 |OrdNumL2:1500000002245324 |OrdNumL3:1700000002302534 |OrdNumL4:1700000002302535 |M2M:1533.15
2024-May-21 09:18:41 |BANKNIFTY24522-47800-48200CE |TRDPARITY:118 |QTY:4 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000002447288 |OrdNumL2:1500000002447513 |OrdNumL3:1700000002524941 |OrdNumL4:1700000002524942 |M2M:1526.55
2024-May-21 09:18:45 |BANKNIFTY24522-50000-48200PE |TRDPARITY:805 |QTY:2 |ParityWas:500 |OpnCls:1 |OrdNumL1:1700000002533993 |OrdNumL2:1700000002595104 |OrdNumL3:1500000002507594 |OrdNumL4:1500000002507595 |M2M:1710.75
2024-May-21 09:18:47 |BANKNIFTY24522-47800-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000002532288 |OrdNumL2:1500000002532343 |OrdNumL3:1700000002622935 |OrdNumL4:1700000002622936 |M2M:1710.90
2024-May-21 09:18:47 |BANKNIFTY24522-47800-48200CE |TRDPARITY:120 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000002532361 |OrdNumL2:1500000002532411 |OrdNumL3:1700000002622994 |OrdNumL4:1700000002622995 |M2M:1709.55
2024-May-21 09:18:53 |BANKNIFTY24MAY-47400-48300CE |TRDPARITY:660 |QTY:2 |ParityWas:655 |OpnCls:1 |OrdNumL1:1400000001164241 |OrdNumL2:1400000001165435 |OrdNumL3:1400000001165433 |OrdNumL4:1400000001165436 |M2M:2102.25
2024-May-21 09:18:53 |BANKNIFTY24MAY-47400-48100CE |TRDPARITY:640 |QTY:2 |ParityWas:600 |OpnCls:1 |OrdNumL1:1400000001164242 |OrdNumL2:1400000001165437 |OrdNumL3:1400000001165438 |OrdNumL4:1400000001165439 |M2M:2102.25
2024-May-21 09:18:53 |BANKNIFTY24MAY-47400-48200CE |TRDPARITY:612 |QTY:2 |ParityWas:620 |OpnCls:1 |OrdNumL1:1400000001164240 |OrdNumL2:1400000001165427 |OrdNumL3:1400000001165430 |OrdNumL4:1400000001165431 |M2M:2102.25
2024-May-21 09:18:59 |BANKNIFTY24522-47800-48200CE |TRDPARITY:65 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000002691839 |OrdNumL2:1500000002691987 |OrdNumL3:1700000002792947 |OrdNumL4:1700000002792949 |M2M:2092.65
2024-May-21 09:19:18 |BANKNIFTY24522-47800-48200CE |TRDPARITY:110 |QTY:4 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000002963314 |OrdNumL2:1500000002963634 |OrdNumL3:1700000003063212 |OrdNumL4:1700000003063213 |M2M:2081.25
2024-May-21 09:19:20 |BANKNIFTY24522-47800-48200CE |TRDPARITY:120 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000002983451 |OrdNumL2:1500000002985509 |OrdNumL3:1700000003083781 |OrdNumL4:1700000003083782 |M2M:2079.90
2024-May-21 09:19:23 |BANKNIFTY24522-47800-48200CE |TRDPARITY:75 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003021720 |OrdNumL2:1500000003021917 |OrdNumL3:1700000003116802 |OrdNumL4:1700000003116803 |M2M:2071.80
2024-May-21 09:19:24 |BANKNIFTY24522-47800-48200CE |TRDPARITY:110 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003037400 |OrdNumL2:1500000003037512 |OrdNumL3:1700000003131140 |OrdNumL4:1700000003131141 |M2M:2068.95
2024-May-21 09:19:24 |BANKNIFTY24MAY-47300-48200CE |TRDPARITY:728 |QTY:2 |ParityWas:665 |OpnCls:1 |OrdNumL1:1400000001392671 |OrdNumL2:1400000001395903 |OrdNumL3:1400000001395905 |OrdNumL4:1400000001395906 |M2M:2510.85
2024-May-21 09:19:24 |BANKNIFTY24MAY-47300-48100CE |TRDPARITY:690 |QTY:2 |ParityWas:645 |OpnCls:1 |OrdNumL1:1400000001392673 |OrdNumL2:1400000001395913 |OrdNumL3:1400000001395914 |OrdNumL4:1400000001395915 |M2M:2510.85
2024-May-21 09:19:24 |BANKNIFTY24MAY-47300-48300CE |TRDPARITY:670 |QTY:2 |ParityWas:700 |OpnCls:1 |OrdNumL1:1400000001392672 |OrdNumL2:1400000001395910 |OrdNumL3:1400000001395908 |OrdNumL4:1400000001395911 |M2M:2510.85
2024-May-21 09:19:31 |BANKNIFTY24522-47800-48200CE |TRDPARITY:115 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003123013 |OrdNumL2:1500000003123175 |OrdNumL3:1700000003210180 |OrdNumL4:1700000003210181 |M2M:2508.75
2024-May-21 09:19:35 |BANKNIFTY24522-47800-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003165172 |OrdNumL2:1500000003165667 |OrdNumL3:1700000003253250 |OrdNumL4:1700000003253251 |M2M:2508.90
2024-May-21 09:19:36 |BANKNIFTY24522-47800-48200CE |TRDPARITY:90 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003171635 |OrdNumL2:1500000003171703 |OrdNumL3:1700000003259910 |OrdNumL4:1700000003259911 |M2M:2503.05
