--------------------2024-May-21 07:50:08------------------------------------
2024-May-21 09:45:05 |BANKNIFTY24522-48900-48100PE |TRDPARITY:160 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1800000022170277 |OrdNumL2:1800000022181580 |OrdNumL3:1600000022573741 |OrdNumL4:1600000022573742 |M2M:642.75
2024-May-21 09:45:21 |BANKNIFTY24522-47000-48000CE |TRDPARITY:80 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1500000023746064 |OrdNumL2:1500000023746251 |OrdNumL3:1700000022968357 |OrdNumL4:1700000022968358 |M2M:624.75
2024-May-21 09:45:30 |BANKNIFTY24522-47000-48000CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1500000023833855 |OrdNumL2:1500000023833871 |OrdNumL3:1700000023059567 |OrdNumL4:1700000023059568 |M2M:603.00
2024-May-21 09:46:20 |BANKNIFTY24522-47000-48000CE |TRDPARITY:345 |QTY:1 |ParityWas:340 |OpnCls:1 |OrdNumL1:1500000024332424 |OrdNumL2:1500000024332451 |OrdNumL3:1700000023561238 |OrdNumL4:1700000023561239 |M2M:635.25
2024-May-21 09:47:10 |BANKNIFTY24522-47800-48000CE |TRDPARITY:45 |QTY:1 |ParityWas:90 |OpnCls:2 |OrdNumL1:1500000024768567 |OrdNumL2:1500000024768831 |OrdNumL3:1700000024003385 |OrdNumL4:1700000024003388 |M2M:625.05
2024-May-21 09:48:47 |BANKNIFTY24522-47500-48100CE |TRDPARITY:310 |QTY:1 |ParityWas:160 |OpnCls:2 |OrdNumL1:1600000024731728 |OrdNumL2:1600000024733052 |OrdNumL3:1800000024463038 |OrdNumL4:1800000024463039 |M2M:650.10
2024-May-21 09:48:47 |BANKNIFTY24522-47900-48000CE |TRDPARITY:-30 |QTY:1 |ParityWas:165 |OpnCls:1 |OrdNumL1:1600000024733235 |OrdNumL2:1500000025814226 |OrdNumL3:1700000025076348 |OrdNumL4:1800000024463467 |M2M:630.90
2024-May-21 09:50:21 |BANKNIFTY24522-48500-48000PE |TRDPARITY:135 |QTY:2 |ParityWas:105 |OpnCls:2 |OrdNumL1:1800000025517284 |OrdNumL2:1700000026169076 |OrdNumL3:1500000026863863 |OrdNumL4:1600000025727354 |M2M:633.30
2024-May-21 09:50:23 |BANKNIFTY24522-47500-48000CE |TRDPARITY:-65 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1600000025736581 |OrdNumL2:1500000026876109 |OrdNumL3:1700000026181100 |OrdNumL4:1800000025529232 |M2M:147.90
2024-May-21 09:50:23 |BANKNIFTY24522-47600-48100CE |TRDPARITY:-50 |QTY:1 |ParityWas:150 |OpnCls:2 |OrdNumL1:1500000026872902 |OrdNumL2:1600000025739093 |OrdNumL3:1800000025529207 |OrdNumL4:1700000026181073 |M2M:147.90
2024-May-21 09:50:23 |BANKNIFTY24522-47600-48200CE |TRDPARITY:50 |QTY:1 |ParityWas:155 |OpnCls:2 |OrdNumL1:1500000026873501 |OrdNumL2:1500000026876089 |OrdNumL3:1700000026181080 |OrdNumL4:1700000026181081 |M2M:147.90
2024-May-21 09:50:23 |BANKNIFTY24522-47600-48000CE |TRDPARITY:-100 |QTY:1 |ParityWas:105 |OpnCls:2 |OrdNumL1:1500000026872904 |OrdNumL2:1500000026876085 |OrdNumL3:1700000026181077 |OrdNumL4:1700000026181078 |M2M:147.90
2024-May-21 09:50:23 |BANKNIFTY24522-49000-48200PE |TRDPARITY:135 |QTY:1 |ParityWas:310 |OpnCls:1 |OrdNumL1:1700000026178306 |OrdNumL2:1700000026181466 |OrdNumL3:1500000026876422 |OrdNumL4:1500000026876423 |M2M:76.80
2024-May-21 09:50:23 |BANKNIFTY24522-47000-48000CE |TRDPARITY:-325 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1500000026873325 |OrdNumL2:1500000026878032 |OrdNumL3:1700000026182780 |OrdNumL4:1700000026182781 |M2M:76.80
2024-May-21 09:50:23 |BANKNIFTY24522-49000-48100PE |TRDPARITY:55 |QTY:1 |ParityWas:310 |OpnCls:1 |OrdNumL1:1700000026178609 |OrdNumL2:1800000025530564 |OrdNumL3:1600000025740567 |OrdNumL4:1500000026877700 |M2M:76.80
2024-May-21 09:50:23 |BANKNIFTY24522-49000-48000PE |TRDPARITY:0 |QTY:1 |ParityWas:305 |OpnCls:1 |OrdNumL1:1700000026178586 |OrdNumL2:1700000026182463 |OrdNumL3:1500000026877740 |OrdNumL4:1500000026877741 |M2M:76.80
2024-May-21 09:50:23 |BANKNIFTY24522-46500-48000CE |TRDPARITY:-250 |QTY:2 |ParityWas:500000 |OpnCls:2 |OrdNumL1:1600000025700229 |OrdNumL2:1500000026878718 |OrdNumL3:1700000026183553 |OrdNumL4:1800000025531607 |M2M:76.80
2024-May-21 09:50:23 |BANKNIFTY24522-47500-48100CE |TRDPARITY:-260 |QTY:1 |ParityWas:160 |OpnCls:2 |OrdNumL1:1600000025739522 |OrdNumL2:1600000025746569 |OrdNumL3:1800000025536817 |OrdNumL4:1800000025536819 |M2M:45.00
2024-May-21 09:50:23 |BANKNIFTY24522-47500-48200CE |TRDPARITY:-265 |QTY:1 |ParityWas:165 |OpnCls:2 |OrdNumL1:1600000025739523 |OrdNumL2:1500000026884145 |OrdNumL3:1700000026188717 |OrdNumL4:1800000025536816 |M2M:45.00
2024-May-21 09:50:23 |BANKNIFTY24522-48800-48100PE |TRDPARITY:-130 |QTY:2 |ParityWas:265 |OpnCls:1 |OrdNumL1:1700000026181546 |OrdNumL2:1800000025536826 |OrdNumL3:1600000025746573 |OrdNumL4:1500000026884148 |M2M:45.00
2024-May-21 09:50:23 |BANKNIFTY24522-50000-48100PE |TRDPARITY:-25 |QTY:1 |ParityWas:535 |OpnCls:1 |OrdNumL1:1700000026181835 |OrdNumL2:1800000025536828 |OrdNumL3:1600000025746576 |OrdNumL4:1500000026884150 |M2M:45.00
2024-May-21 09:50:23 |BANKNIFTY24522-49100-48100PE |TRDPARITY:15 |QTY:2 |ParityWas:330 |OpnCls:1 |OrdNumL1:1800000025529697 |OrdNumL2:1800000025536836 |OrdNumL3:1600000025746578 |OrdNumL4:1600000025746579 |M2M:-88.50
2024-May-21 09:50:23 |BANKNIFTY24522-47300-48200CE |TRDPARITY:-35 |QTY:2 |ParityWas:140 |OpnCls:2 |OrdNumL1:1600000025740286 |OrdNumL2:1500000026884153 |OrdNumL3:1700000026188723 |OrdNumL4:1800000025536841 |M2M:-88.50
2024-May-21 09:50:23 |BANKNIFTY24522-47400-48200CE |TRDPARITY:15 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1500000026877350 |OrdNumL2:1500000026884155 |OrdNumL3:1700000026188725 |OrdNumL4:1700000026188726 |M2M:-88.50
2024-May-21 09:50:23 |BANKNIFTY24522-50000-48100PE |TRDPARITY:110 |QTY:2 |ParityWas:535 |OpnCls:1 |OrdNumL1:1700000026181834 |OrdNumL2:1800000025536838 |OrdNumL3:1600000025746580 |OrdNumL4:1500000026884151 |M2M:-88.50
2024-May-21 09:50:23 |BANKNIFTY24522-49000-48200PE |TRDPARITY:210 |QTY:2 |ParityWas:310 |OpnCls:1 |OrdNumL1:1700000026183373 |OrdNumL2:1700000026188727 |OrdNumL3:1500000026884157 |OrdNumL4:1500000026884158 |M2M:-88.50
2024-May-21 09:53:43 |BANKNIFTY24522-47900-48200CE |TRDPARITY:40 |QTY:1 |ParityWas:155 |OpnCls:1 |OrdNumL1:1600000027341969 |OrdNumL2:1500000028543298 |OrdNumL3:1700000027962546 |OrdNumL4:1800000027210903 |M2M:-96.00
2024-May-21 09:53:43 |BANKNIFTY24522-47900-48200CE |TRDPARITY:60 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1600000027344402 |OrdNumL2:1500000028549287 |OrdNumL3:1700000027968366 |OrdNumL4:1800000027216598 |M2M:-103.65
2024-May-21 09:53:43 |BANKNIFTY24522-47900-48100CE |TRDPARITY:35 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000027347787 |OrdNumL2:1600000027347844 |OrdNumL3:1800000027216782 |OrdNumL4:1800000027216783 |M2M:-114.15
2024-May-21 09:53:43 |BANKNIFTY24522-47900-48200CE |TRDPARITY:95 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1600000027347920 |OrdNumL2:1500000028549664 |OrdNumL3:1700000027968792 |OrdNumL4:1800000027217003 |M2M:-116.55
2024-May-21 09:53:43 |BANKNIFTY24522-47900-48100CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000027348043 |OrdNumL2:1600000027348325 |OrdNumL3:1800000027217182 |OrdNumL4:1800000027217183 |M2M:-112.80
2024-May-21 09:53:43 |BANKNIFTY24522-47900-48100CE |TRDPARITY:80 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000027348681 |OrdNumL2:1600000027348694 |OrdNumL3:1800000027217606 |OrdNumL4:1800000027217609 |M2M:-116.55
2024-May-21 09:53:43 |BANKNIFTY24522-47800-48100CE |TRDPARITY:110 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1500000028550253 |OrdNumL2:1600000027348693 |OrdNumL3:1800000027217599 |OrdNumL4:1700000027969124 |M2M:-116.70
2024-May-21 09:53:59 |BANKNIFTY24522-47800-48200CE |TRDPARITY:-10 |QTY:1 |ParityWas:140 |OpnCls:2 |OrdNumL1:1500000028793375 |OrdNumL2:1500000028794407 |OrdNumL3:1700000028257406 |OrdNumL4:1700000028257407 |M2M:-136.05
2024-May-21 09:54:05 |BANKNIFTY24522-47000-48000CE |TRDPARITY:65 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1500000028909041 |OrdNumL2:1500000028911928 |OrdNumL3:1700000028393715 |OrdNumL4:1700000028393716 |M2M:-155.55
2024-May-21 09:54:05 |BANKNIFTY24522-47900-48000CE |TRDPARITY:-50 |QTY:1 |ParityWas:85 |OpnCls:2 |OrdNumL1:1600000027677348 |OrdNumL2:1500000028912142 |OrdNumL3:1700000028393866 |OrdNumL4:1800000027620515 |M2M:-178.80
2024-May-21 09:54:07 |BANKNIFTY24522-46700-48100CE |TRDPARITY:225 |QTY:1 |ParityWas:220 |OpnCls:2 |OrdNumL1:1600000027730622 |OrdNumL2:1600000027730870 |OrdNumL3:1800000027685534 |OrdNumL4:1800000027685535 |M2M:-180.90
2024-May-21 09:55:14 |BANKNIFTY24522-49100-48000PE |TRDPARITY:-310 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000028500013 |OrdNumL2:1700000029330164 |OrdNumL3:1500000029691588 |OrdNumL4:1600000028423450 |M2M:-333.90
2024-May-21 09:55:14 |BANKNIFTY24522-48500-48000PE |TRDPARITY:-260 |QTY:2 |ParityWas:105 |OpnCls:2 |OrdNumL1:1800000028500100 |OrdNumL2:1700000029329939 |OrdNumL3:1500000029691402 |OrdNumL4:1600000028423248 |M2M:-450.00
2024-May-21 09:55:15 |BANKNIFTY24MAY-47600-48200CE |TRDPARITY:365 |QTY:1 |ParityWas:495 |OpnCls:1 |OrdNumL1:1400000017802052 |OrdNumL2:1400000017804387 |OrdNumL3:1400000017804386 |OrdNumL4:1400000017804388 |M2M:-423.90
2024-May-21 09:55:15 |BANKNIFTY24522-46500-48000CE |TRDPARITY:260 |QTY:1 |ParityWas:240 |OpnCls:2 |OrdNumL1:1600000028431938 |OrdNumL2:1500000029701183 |OrdNumL3:1700000029345861 |OrdNumL4:1800000028517018 |M2M:-424.35
2024-May-21 09:55:15 |BANKNIFTY24522-48600-47900PE |TRDPARITY:360 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1700000029346063 |OrdNumL2:1800000028517256 |OrdNumL3:1600000028431981 |OrdNumL4:1500000029701280 |M2M:-361.65
2024-May-21 09:55:15 |BANKNIFTY24522-48600-47900PE |TRDPARITY:180 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1700000029346222 |OrdNumL2:1800000028517364 |OrdNumL3:1600000028432020 |OrdNumL4:1500000029701326 |M2M:-379.35
2024-May-21 09:55:15 |BANKNIFTY24522-48500-47900PE |TRDPARITY:53 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000028516841 |OrdNumL2:1800000028517287 |OrdNumL3:1600000028431994 |OrdNumL4:1600000028431995 |M2M:-379.35
2024-May-21 09:55:15 |BANKNIFTY24522-48500-48000PE |TRDPARITY:457 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000028517532 |OrdNumL2:1700000029347605 |OrdNumL3:1500000029701866 |OrdNumL4:1600000028432466 |M2M:-184.35
2024-May-21 09:55:15 |BANKNIFTY24522-48500-48100PE |TRDPARITY:410 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1800000028517533 |OrdNumL2:1800000028518343 |OrdNumL3:1600000028432467 |OrdNumL4:1600000028432468 |M2M:-184.35
