--------------------2024-May-21 07:50:05------------------------------------
2024-May-21 09:16:22 |NIFTY24523-22400-22600CE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000556345 |OrdNumL2:1000000000556419 |OrdNumL3:2000000000525257 |OrdNumL4:2000000000525258 |M2M:649.20
2024-May-21 09:17:03 |FINNIFTY24521-21800-21500PE |TRDPARITY:35 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1900000002848665 |OrdNumL2:1900000002850194 |OrdNumL3:1200000003083516 |OrdNumL4:1200000003083517 |M2M:639.20
2024-May-21 09:17:04 |FINNIFTY24521-21800-21500PE |TRDPARITY:70 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:1900000002876966 |OrdNumL2:1900000002879081 |OrdNumL3:1200000003113575 |OrdNumL4:1200000003113577 |M2M:647.20
2024-May-21 09:17:21 |NIFTY24523-22400-22500CE |TRDPARITY:87 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000000980292 |OrdNumL2:1100000001051969 |OrdNumL3:2100000000979537 |OrdNumL4:2000000000976400 |M2M:665.20
2024-May-21 09:17:27 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001025575 |OrdNumL2:1100000001100069 |OrdNumL3:2100000001027258 |OrdNumL4:2000000001024135 |M2M:689.70
2024-May-21 09:17:33 |NIFTY24523-22700-22500PE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000001086629 |OrdNumL2:2100000001086717 |OrdNumL3:1100000001156316 |OrdNumL4:1100000001156318 |M2M:690.45
2024-May-21 09:18:04 |NIFTY24523-22400-22500CE |TRDPARITY:77 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001299696 |OrdNumL2:1100000001384925 |OrdNumL3:2100000001326561 |OrdNumL4:2000000001327827 |M2M:703.45
2024-May-21 09:18:07 |NIFTY24523-22400-22500CE |TRDPARITY:92 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001328363 |OrdNumL2:1100000001414739 |OrdNumL3:2100000001355999 |OrdNumL4:2000000001358701 |M2M:723.95
2024-May-21 09:18:17 |MIDCPNIFTY24MAY-11275-11325CE |TRDPARITY:287 |QTY:2 |ParityWas:70 |OpnCls:1 |OrdNumL1:1400000000877537 |OrdNumL2:1400000000879852 |OrdNumL3:1300000000545461 |OrdNumL4:1300000000545463 |M2M:1086.95
2024-May-21 09:18:18 |NIFTY24523-22400-22500CE |TRDPARITY:93 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001459138 |OrdNumL2:1100000001552127 |OrdNumL3:2100000001499598 |OrdNumL4:2000000001511543 |M2M:1107.95
2024-May-21 09:18:22 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001495686 |OrdNumL2:1100000001591124 |OrdNumL3:2100000001543368 |OrdNumL4:2000000001557677 |M2M:1132.45
2024-May-21 09:18:27 |NIFTY24523-22400-22500CE |TRDPARITY:105 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001544945 |OrdNumL2:1100000001641043 |OrdNumL3:2100000001599560 |OrdNumL4:2000000001616805 |M2M:1159.45
2024-May-21 09:18:27 |NIFTY24523-22400-22500CE |TRDPARITY:90 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001545189 |OrdNumL2:1100000001641123 |OrdNumL3:2100000001599638 |OrdNumL4:2000000001616868 |M2M:1178.95
2024-May-21 09:18:27 |NIFTY24523-22400-22500CE |TRDPARITY:105 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001545264 |OrdNumL2:1100000001641293 |OrdNumL3:2100000001599798 |OrdNumL4:2000000001617033 |M2M:1205.95
2024-May-21 09:18:27 |NIFTY24523-22400-22500CE |TRDPARITY:95 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001545391 |OrdNumL2:1100000001641519 |OrdNumL3:2100000001600092 |OrdNumL4:2000000001617296 |M2M:1227.95
2024-May-21 09:18:35 |NIFTY24523-22400-22500CE |TRDPARITY:65 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001634134 |OrdNumL2:1100000001731435 |OrdNumL3:2100000001702189 |OrdNumL4:2000000001723475 |M2M:1231.45
2024-May-21 09:18:36 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001637350 |OrdNumL2:1100000001734798 |OrdNumL3:2100000001706255 |OrdNumL4:2000000001728068 |M2M:1243.70
2024-May-21 09:18:36 |NIFTY24523-22400-22500CE |TRDPARITY:80 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001640786 |OrdNumL2:1100000001738272 |OrdNumL3:2100000001710197 |OrdNumL4:2000000001732233 |M2M:1250.95
2024-May-21 09:18:36 |NIFTY24523-22400-22500CE |TRDPARITY:80 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001642348 |OrdNumL2:1100000001739955 |OrdNumL3:2100000001711992 |OrdNumL4:2000000001733977 |M2M:1258.20
2024-May-21 09:18:38 |NIFTY24523-22400-22500CE |TRDPARITY:75 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001661087 |OrdNumL2:1100000001759589 |OrdNumL3:2100000001734603 |OrdNumL4:2000000001759225 |M2M:1264.20
2024-May-21 09:18:50 |NIFTY24523-22400-22500CE |TRDPARITY:80 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001805268 |OrdNumL2:1100000001900967 |OrdNumL3:2100000001901473 |OrdNumL4:2000000001937992 |M2M:1271.45
2024-May-21 09:18:50 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001809783 |OrdNumL2:1100000001905240 |OrdNumL3:2100000001906934 |OrdNumL4:2000000001943899 |M2M:1283.70
2024-May-21 09:18:52 |NIFTY24523-22400-22500CE |TRDPARITY:95 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001824772 |OrdNumL2:1100000001919719 |OrdNumL3:2100000001924118 |OrdNumL4:2000000001961597 |M2M:1294.70
2024-May-21 09:18:53 |NIFTY24523-22400-22500CE |TRDPARITY:95 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001836898 |OrdNumL2:1100000001931510 |OrdNumL3:2100000001938248 |OrdNumL4:2000000001975897 |M2M:1305.70
2024-May-21 09:18:53 |NIFTY24523-22400-22500CE |TRDPARITY:95 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001842582 |OrdNumL2:1100000001936624 |OrdNumL3:2100000001945055 |OrdNumL4:2000000001982982 |M2M:1327.70
2024-May-21 09:18:54 |NIFTY24523-22400-22500CE |TRDPARITY:105 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001849074 |OrdNumL2:1100000001942847 |OrdNumL3:2100000001953067 |OrdNumL4:2000000001991438 |M2M:1341.20
2024-May-21 09:18:54 |NIFTY24523-22400-22500CE |TRDPARITY:70 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001856192 |OrdNumL2:1100000001949335 |OrdNumL3:2100000001960726 |OrdNumL4:2000000001999755 |M2M:1345.95
2024-May-21 09:18:55 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001860970 |OrdNumL2:1100000001953822 |OrdNumL3:2100000001966272 |OrdNumL4:2000000002005629 |M2M:1358.20
2024-May-21 09:18:55 |NIFTY24523-22400-22500CE |TRDPARITY:105 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001862057 |OrdNumL2:1100000001954947 |OrdNumL3:2100000001967516 |OrdNumL4:2000000002006982 |M2M:1371.70
2024-May-21 09:18:55 |NIFTY24523-22400-22500CE |TRDPARITY:110 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001863064 |OrdNumL2:1100000001956025 |OrdNumL3:2100000001968825 |OrdNumL4:2000000002008318 |M2M:1386.45
2024-May-21 09:18:56 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001872061 |OrdNumL2:1100000001964852 |OrdNumL3:2100000001978333 |OrdNumL4:2000000002018394 |M2M:1398.70
2024-May-21 09:18:57 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001881703 |OrdNumL2:1100000001974775 |OrdNumL3:2100000001989208 |OrdNumL4:2000000002029677 |M2M:1410.95
2024-May-21 09:18:57 |NIFTY24523-22400-22500CE |TRDPARITY:97 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001891248 |OrdNumL2:1100000001984188 |OrdNumL3:2100000002000028 |OrdNumL4:2000000002041269 |M2M:1433.95
2024-May-21 09:18:57 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001891407 |OrdNumL2:1100000001984319 |OrdNumL3:2100000002000180 |OrdNumL4:2000000002041424 |M2M:1458.45
2024-May-21 09:18:58 |NIFTY24523-22400-22500CE |TRDPARITY:80 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001891470 |OrdNumL2:1100000001984381 |OrdNumL3:2100000002000246 |OrdNumL4:2000000002041503 |M2M:1465.70
2024-May-21 09:18:58 |NIFTY24523-22400-22500CE |TRDPARITY:90 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001892076 |OrdNumL2:1100000001984953 |OrdNumL3:2100000002000872 |OrdNumL4:2000000002042185 |M2M:1475.45
2024-May-21 09:18:58 |NIFTY24523-22400-22450CE |TRDPARITY:100 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001893034 |OrdNumL2:1000000001893086 |OrdNumL3:2000000002043503 |OrdNumL4:2000000002043504 |M2M:1487.20
2024-May-21 09:18:58 |NIFTY24523-22400-22500CE |TRDPARITY:75 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001897990 |OrdNumL2:1100000001990584 |OrdNumL3:2100000002007912 |OrdNumL4:2000000002049807 |M2M:1493.20
2024-May-21 09:19:40 |FINNIFTY24521-21350-21450CE |TRDPARITY:27 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000006434570 |OrdNumL2:1200000006434987 |OrdNumL3:1900000006196821 |OrdNumL4:1900000006196822 |M2M:1489.20
2024-May-21 09:19:40 |FINNIFTY24521-21350-21450CE |TRDPARITY:28 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000006435300 |OrdNumL2:1200000006435497 |OrdNumL3:1900000006197080 |OrdNumL4:1900000006197081 |M2M:1486.00
2024-May-21 09:19:49 |FINNIFTY24521-21350-21450CE |TRDPARITY:35 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000006629268 |OrdNumL2:1200000006629431 |OrdNumL3:1900000006383072 |OrdNumL4:1900000006383075 |M2M:1487.20
2024-May-21 09:20:38 |MIDCPNIFTY24MAY-11000-11300CE |TRDPARITY:365 |QTY:1 |ParityWas:125 |OpnCls:1 |OrdNumL1:1400000001950105 |OrdNumL2:1400000001962849 |OrdNumL3:1300000001176695 |OrdNumL4:1300000001176696 |M2M:1723.45
2024-May-21 09:20:47 |FINNIFTY24521-21450-21500CE |TRDPARITY:10 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000007973427 |OrdNumL2:1200000007974132 |OrdNumL3:1900000007516109 |OrdNumL4:1900000007516113 |M2M:1709.85
2024-May-21 09:20:52 |NIFTY24523-22400-22500CE |TRDPARITY:75 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000002890880 |OrdNumL2:1100000003004632 |OrdNumL3:2100000003073986 |OrdNumL4:2000000003231320 |M2M:1715.85
2024-May-21 09:20:52 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000002891863 |OrdNumL2:1100000003005477 |OrdNumL3:2100000003074683 |OrdNumL4:2000000003232216 |M2M:1728.10
2024-May-21 09:21:49 |FINNIFTY24521-21350-21500CE |TRDPARITY:30 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000009953844 |OrdNumL2:1200000009954417 |OrdNumL3:1900000008975796 |OrdNumL4:1900000008975799 |M2M:1722.50
2024-May-21 09:21:54 |NIFTY24523-22000-22450CE |TRDPARITY:50 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000003407877 |OrdNumL2:1000000003408023 |OrdNumL3:2000000003798102 |OrdNumL4:2000000003798103 |M2M:1710.25
2024-May-21 09:22:08 |FINNIFTY24521-21400-21500CE |TRDPARITY:-110 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000010653273 |OrdNumL2:1200000010654690 |OrdNumL3:1900000009538910 |OrdNumL4:1900000009538912 |M2M:1598.25
2024-May-21 09:22:23 |NIFTY24523-22550-22500PE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:2100000003907961 |OrdNumL2:2100000003908091 |OrdNumL3:1100000003903804 |OrdNumL4:1100000003903805 |M2M:1597.50
2024-May-21 09:22:28 |NIFTY24523-22000-22450CE |TRDPARITY:40 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000003795254 |OrdNumL2:1000000003795339 |OrdNumL3:2000000004176875 |OrdNumL4:2000000004176876 |M2M:1582.75
2024-May-21 09:22:40 |NIFTY24523-22000-22450CE |TRDPARITY:37 |QTY:4 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000003896671 |OrdNumL2:1000000003904226 |OrdNumL3:2000000004286984 |OrdNumL4:2000000004286989 |M2M:1520.75
