--------------------2024-May-21 07:54:07------------------------------------
2024-May-21 09:43:49 |BANKNIFTY24522-48300-48100PE |TRDPARITY:120 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000021409538 |OrdNumL2:1800000021409562 |OrdNumL3:1600000021823122 |OrdNumL4:1600000021823123 |M2M:1369.50
2024-May-21 09:46:03 |BANKNIFTY24522-48300-48000PE |TRDPARITY:130 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000022813832 |OrdNumL2:1700000023384114 |OrdNumL3:1500000024145280 |OrdNumL4:1600000023176169 |M2M:1374.90
2024-May-21 09:46:03 |BANKNIFTY24522-48300-48000PE |TRDPARITY:138 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000022814224 |OrdNumL2:1700000023384221 |OrdNumL3:1500000024145439 |OrdNumL4:1600000023176334 |M2M:1382.70
2024-May-21 09:46:03 |BANKNIFTY24522-48300-48000PE |TRDPARITY:130 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000022814299 |OrdNumL2:1700000023384313 |OrdNumL3:1500000024145560 |OrdNumL4:1600000023176483 |M2M:1388.10
2024-May-21 09:46:03 |BANKNIFTY24522-48300-48000PE |TRDPARITY:140 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000022814388 |OrdNumL2:1700000023384475 |OrdNumL3:1500000024145817 |OrdNumL4:1600000023176675 |M2M:1396.50
2024-May-21 09:48:40 |BANKNIFTY24522-48300-48000PE |TRDPARITY:113 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000024360335 |OrdNumL2:1700000024969862 |OrdNumL3:1500000025705838 |OrdNumL4:1600000024632229 |M2M:1396.80
2024-May-21 09:50:21 |BANKNIFTY24522-48500-48000PE |TRDPARITY:140 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1800000025517280 |OrdNumL2:1700000026169072 |OrdNumL3:1500000026863854 |OrdNumL4:1600000025727340 |M2M:1400.40
2024-May-21 09:53:59 |BANKNIFTY24522-48200-48000PE |TRDPARITY:130 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1700000028256652 |OrdNumL2:1700000028256966 |OrdNumL3:1500000028794050 |OrdNumL4:1500000028794051 |M2M:1407.90
2024-May-21 09:54:01 |BANKNIFTY24522-46700-48100CE |TRDPARITY:150 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1600000027585841 |OrdNumL2:1600000027606971 |OrdNumL3:1800000027531124 |OrdNumL4:1800000027531125 |M2M:1381.20
2024-May-21 09:54:04 |BANKNIFTY24522-49500-48000PE |TRDPARITY:237 |QTY:2 |ParityWas:165 |OpnCls:2 |OrdNumL1:1800000027600885 |OrdNumL2:1700000028373554 |OrdNumL3:1500000028896048 |OrdNumL4:1600000027663661 |M2M:1376.70
2024-May-21 09:54:08 |BANKNIFTY24522-46700-48100CE |TRDPARITY:185 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1600000027699484 |OrdNumL2:1600000027733158 |OrdNumL3:1800000027688747 |OrdNumL4:1800000027688748 |M2M:1360.50
2024-May-21 09:54:08 |BANKNIFTY24522-46700-48100CE |TRDPARITY:200 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1600000027733192 |OrdNumL2:1600000027737269 |OrdNumL3:1800000027694120 |OrdNumL4:1800000027694121 |M2M:1348.80
2024-May-21 09:54:09 |BANKNIFTY24522-46700-48100CE |TRDPARITY:230 |QTY:1 |ParityWas:135 |OpnCls:2 |OrdNumL1:1600000027752531 |OrdNumL2:1600000027755603 |OrdNumL3:1800000027716962 |OrdNumL4:1800000027716963 |M2M:1347.45
2024-May-21 09:54:22 |BANKNIFTY24522-46700-48100CE |TRDPARITY:155 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1600000027893180 |OrdNumL2:1600000027902879 |OrdNumL3:1800000027901527 |OrdNumL4:1800000027901528 |M2M:1322.25
2024-May-21 09:55:14 |BANKNIFTY24522-48300-48000PE |TRDPARITY:130 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000028499015 |OrdNumL2:1700000029328549 |OrdNumL3:1500000029689911 |OrdNumL4:1600000028421866 |M2M:1327.95
2024-May-21 09:55:14 |BANKNIFTY24522-48300-48000PE |TRDPARITY:-230 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000028499306 |OrdNumL2:1700000029328849 |OrdNumL3:1500000029690207 |OrdNumL4:1600000028422141 |M2M:1131.45
2024-May-21 09:55:14 |BANKNIFTY24522-48400-48000PE |TRDPARITY:-195 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1700000029328883 |OrdNumL2:1700000029329234 |OrdNumL3:1500000029690622 |OrdNumL4:1500000029690623 |M2M:1131.45
2024-May-21 09:55:14 |BANKNIFTY24522-48500-48000PE |TRDPARITY:-700 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1800000028500135 |OrdNumL2:1700000029333132 |OrdNumL3:1500000029693689 |OrdNumL4:1600000028425478 |M2M:-416.55
2024-May-21 09:55:14 |BANKNIFTY24522-48100-48000PE |TRDPARITY:-520 |QTY:2 |ParityWas:110 |OpnCls:2 |OrdNumL1:1800000028500254 |OrdNumL2:1700000029333133 |OrdNumL3:1500000029693690 |OrdNumL4:1600000028425482 |M2M:-416.55
2024-May-21 09:55:14 |BANKNIFTY24522-48800-48000PE |TRDPARITY:-770 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1700000029329232 |OrdNumL2:1700000029333137 |OrdNumL3:1500000029693693 |OrdNumL4:1500000029693695 |M2M:-416.55
2024-May-21 09:55:14 |BANKNIFTY24522-48900-48000PE |TRDPARITY:-780 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1800000028500287 |OrdNumL2:1700000029333139 |OrdNumL3:1500000029693697 |OrdNumL4:1600000028425484 |M2M:-416.55
2024-May-21 09:55:14 |BANKNIFTY24522-47000-48000CE |TRDPARITY:-433 |QTY:2 |ParityWas:415 |OpnCls:1 |OrdNumL1:1500000029690945 |OrdNumL2:1500000029693700 |OrdNumL3:1700000029333142 |OrdNumL4:1700000029333143 |M2M:-416.55
2024-May-21 09:55:14 |BANKNIFTY24522-47200-48000CE |TRDPARITY:-325 |QTY:2 |ParityWas:295 |OpnCls:1 |OrdNumL1:1500000029691480 |OrdNumL2:1500000029693702 |OrdNumL3:1700000029333146 |OrdNumL4:1700000029333147 |M2M:-416.55
2024-May-21 09:55:14 |BANKNIFTY24522-47300-48000CE |TRDPARITY:-430 |QTY:2 |ParityWas:275 |OpnCls:1 |OrdNumL1:1600000028422931 |OrdNumL2:1500000029693699 |OrdNumL3:1700000029333141 |OrdNumL4:1800000028503862 |M2M:-416.55
2024-May-21 09:55:14 |BANKNIFTY24522-46800-47900CE |TRDPARITY:-145 |QTY:2 |ParityWas:390 |OpnCls:1 |OrdNumL1:1500000029691198 |OrdNumL2:1600000028425489 |OrdNumL3:1800000028503871 |OrdNumL4:1700000029333149 |M2M:-416.55
2024-May-21 09:55:15 |BANKNIFTY24522-48100-47900PE |TRDPARITY:980 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000028512934 |OrdNumL2:1800000028514411 |OrdNumL3:1600000028430715 |OrdNumL4:1600000028430716 |M2M:-155.55
