--------------------2024-May-21 07:45:05------------------------------------
2024-May-21 09:15:56 |FINNIFTY24521-21400-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001582069 |OrdNumL2:1200000001582535 |OrdNumL3:1900000001454535 |OrdNumL4:1900000001454536 |M2M:550.85
2024-May-21 09:15:57 |FINNIFTY24521-21300-21550CE |TRDPARITY:80 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000001604998 |OrdNumL2:1200000001605550 |OrdNumL3:1900000001476055 |OrdNumL4:1900000001476057 |M2M:563.65
2024-May-21 09:15:57 |FINNIFTY24521-21300-21450CE |TRDPARITY:40 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1200000001621199 |OrdNumL2:1200000001621613 |OrdNumL3:1900000001491323 |OrdNumL4:1900000001491324 |M2M:562.05
2024-May-21 09:15:58 |FINNIFTY24521-21350-21550CE |TRDPARITY:60 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001628192 |OrdNumL2:1200000001629182 |OrdNumL3:1900000001497502 |OrdNumL4:1900000001497503 |M2M:569.25
2024-May-21 09:15:58 |FINNIFTY24521-21400-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001645456 |OrdNumL2:1200000001645598 |OrdNumL3:1900000001515307 |OrdNumL4:1900000001515308 |M2M:574.05
2024-May-21 09:15:59 |FINNIFTY24521-21400-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001655599 |OrdNumL2:1200000001656128 |OrdNumL3:1900000001526618 |OrdNumL4:1900000001526619 |M2M:578.05
2024-May-21 09:15:59 |FINNIFTY24521-21400-21550CE |TRDPARITY:65 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001655606 |OrdNumL2:1200000001657617 |OrdNumL3:1900000001527833 |OrdNumL4:1900000001527835 |M2M:588.45
2024-May-21 09:16:00 |FINNIFTY24521-21250-21500CE |TRDPARITY:65 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000001679285 |OrdNumL2:1200000001679615 |OrdNumL3:1900000001546992 |OrdNumL4:1900000001546995 |M2M:601.65
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48200PE |TRDPARITY:525 |QTY:3 |ParityWas:215 |OpnCls:1 |OrdNumL1:1800000000535410 |OrdNumL2:1700000000566684 |OrdNumL3:1500000000569948 |OrdNumL4:1600000000534344 |M2M:788.85
2024-May-21 09:16:00 |MIDCPNIFTY24MAY-11100-11325CE |TRDPARITY:145 |QTY:1 |ParityWas:110 |OpnCls:1 |OrdNumL1:1400000000238964 |OrdNumL2:1400000000244066 |OrdNumL3:1300000000163862 |OrdNumL4:1300000000163863 |M2M:862.35
2024-May-21 09:16:00 |BANKNIFTY24MAY-47600-48300CE |TRDPARITY:540 |QTY:1 |ParityWas:225 |OpnCls:2 |OrdNumL1:1400000000244863 |OrdNumL2:1400000000244889 |OrdNumL3:1400000000244891 |OrdNumL4:1400000000244895 |M2M:906.90
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48100PE |TRDPARITY:368 |QTY:3 |ParityWas:220 |OpnCls:1 |OrdNumL1:1800000000543750 |OrdNumL2:1800000000545170 |OrdNumL3:1600000000543187 |OrdNumL4:1600000000543202 |M2M:1261.65
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48200PE |TRDPARITY:430 |QTY:3 |ParityWas:215 |OpnCls:1 |OrdNumL1:1800000000543830 |OrdNumL2:1700000000574833 |OrdNumL3:1500000000579057 |OrdNumL4:1600000000543206 |M2M:1261.65
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48000PE |TRDPARITY:412 |QTY:2 |ParityWas:230 |OpnCls:1 |OrdNumL1:1800000000543844 |OrdNumL2:1700000000574837 |OrdNumL3:1500000000579058 |OrdNumL4:1600000000543210 |M2M:1261.65
2024-May-21 09:16:01 |FINNIFTY24521-21450-21550CE |TRDPARITY:55 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001733549 |OrdNumL2:1200000001734348 |OrdNumL3:1900000001593240 |OrdNumL4:1900000001593241 |M2M:1270.85
2024-May-21 09:16:02 |BANKNIFTY24522-49000-48000PE |TRDPARITY:325 |QTY:3 |ParityWas:285 |OpnCls:1 |OrdNumL1:1700000000598990 |OrdNumL2:1700000000599228 |OrdNumL3:1500000000605910 |OrdNumL4:1500000000605913 |M2M:1364.00
2024-May-21 09:16:04 |FINNIFTY24521-21450-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000001825212 |OrdNumL2:1200000001825313 |OrdNumL3:1900000001666842 |OrdNumL4:1900000001666843 |M2M:1375.20
2024-May-21 09:16:06 |FINNIFTY24521-21650-21500PE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1900000001708137 |OrdNumL2:1900000001708280 |OrdNumL3:1200000001861657 |OrdNumL4:1200000001861658 |M2M:1378.80
2024-May-21 09:16:07 |FINNIFTY24521-21250-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1200000001892917 |OrdNumL2:1200000001892976 |OrdNumL3:1900000001737812 |OrdNumL4:1900000001737814 |M2M:1381.60
2024-May-21 09:16:13 |FINNIFTY24521-21350-21500CE |TRDPARITY:40 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000002022887 |OrdNumL2:1200000002024220 |OrdNumL3:1900000001863905 |OrdNumL4:1900000001863908 |M2M:1382.40
2024-May-21 09:16:13 |FINNIFTY24521-21400-21500CE |TRDPARITY:40 |QTY:3 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000002024380 |OrdNumL2:1200000002024551 |OrdNumL3:1900000001864275 |OrdNumL4:1900000001864277 |M2M:1390.80
2024-May-21 09:16:13 |FINNIFTY24521-21450-21500CE |TRDPARITY:80 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000002031039 |OrdNumL2:1200000002035358 |OrdNumL3:1900000001876494 |OrdNumL4:1900000001876497 |M2M:1410.80
2024-May-21 09:16:15 |FINNIFTY24521-21250-21450CE |TRDPARITY:75 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000002088491 |OrdNumL2:1200000002089248 |OrdNumL3:1900000001930718 |OrdNumL4:1900000001930719 |M2M:1422.40
2024-May-21 09:16:15 |FINNIFTY24521-21250-21450CE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000002089665 |OrdNumL2:1200000002089713 |OrdNumL3:1900000001931133 |OrdNumL4:1900000001931134 |M2M:1430.00
2024-May-21 09:16:16 |FINNIFTY24521-21250-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000002091607 |OrdNumL2:1200000002093662 |OrdNumL3:1900000001934996 |OrdNumL4:1900000001934999 |M2M:1435.60
2024-May-21 09:16:22 |FINNIFTY24521-21450-21550CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000002233227 |OrdNumL2:1200000002233347 |OrdNumL3:1900000002066268 |OrdNumL4:1900000002066269 |M2M:1449.60
2024-May-21 09:16:22 |FINNIFTY24521-21450-21550CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000002233438 |OrdNumL2:1200000002233458 |OrdNumL3:1900000002066462 |OrdNumL4:1900000002066463 |M2M:1463.60
2024-May-21 09:16:26 |FINNIFTY24521-21550-21500PE |TRDPARITY:20 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1900000002127697 |OrdNumL2:1900000002127723 |OrdNumL3:1200000002309416 |OrdNumL4:1200000002309418 |M2M:1459.60
2024-May-21 09:16:26 |FINNIFTY24521-21400-21500CE |TRDPARITY:38 |QTY:3 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000002310634 |OrdNumL2:1200000002311367 |OrdNumL3:1900000002129220 |OrdNumL4:1900000002129223 |M2M:1465.60
2024-May-21 09:16:28 |FINNIFTY24521-21450-21550CE |TRDPARITY:30 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000002354318 |OrdNumL2:1200000002354439 |OrdNumL3:1900000002164804 |OrdNumL4:1900000002164806 |M2M:1464.80
2024-May-21 09:16:29 |FINNIFTY24521-21400-21500CE |TRDPARITY:27 |QTY:3 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000002357715 |OrdNumL2:1200000002357998 |OrdNumL3:1900000002167971 |OrdNumL4:1900000002167972 |M2M:1457.60
2024-May-21 09:16:30 |FINNIFTY24521-21250-21500CE |TRDPARITY:50 |QTY:2 |ParityWas:80 |OpnCls:1 |OrdNumL1:1200000002374266 |OrdNumL2:1200000002374789 |OrdNumL3:1900000002184455 |OrdNumL4:1900000002184462 |M2M:1472.00
