--------------------2024-May-21 07:52:08------------------------------------
2024-May-21 09:15:30 |FINNIFTY24521-21600-21500PE |TRDPARITY:30 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1900000000922854 |OrdNumL2:1900000000923354 |OrdNumL3:1200000000965580 |OrdNumL4:1200000000965583 |M2M:1325.10
2024-May-21 09:15:30 |FINNIFTY24521-21600-21450PE |TRDPARITY:40 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1900000000922856 |OrdNumL2:1900000000923361 |OrdNumL3:1200000000965593 |OrdNumL4:1200000000965595 |M2M:1325.10
2024-May-21 09:15:31 |FINNIFTY24521-21400-21550CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000000990369 |OrdNumL2:1200000000990543 |OrdNumL3:1900000000944028 |OrdNumL4:1900000000944030 |M2M:1335.90
2024-May-21 09:15:31 |FINNIFTY24521-21400-21550CE |TRDPARITY:75 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000000990717 |OrdNumL2:1200000000991240 |OrdNumL3:1900000000944537 |OrdNumL4:1900000000944539 |M2M:1354.70
2024-May-21 09:15:33 |NIFTY24MAY-22200-22500CE |TRDPARITY:255 |QTY:2 |ParityWas:245 |OpnCls:1 |OrdNumL1:1200000001043697 |OrdNumL2:1200000001043958 |OrdNumL3:1200000001043964 |OrdNumL4:1200000001043966 |M2M:1437.70
2024-May-21 09:15:33 |NIFTY24MAY-22200-22500CE |TRDPARITY:265 |QTY:1 |ParityWas:245 |OpnCls:1 |OrdNumL1:1200000001043970 |OrdNumL2:1200000001047866 |OrdNumL3:1200000001047868 |OrdNumL4:1200000001047869 |M2M:1481.70
2024-May-21 09:15:34 |NIFTY24523-22150-22500CE |TRDPARITY:160 |QTY:1 |ParityWas:120 |OpnCls:1 |OrdNumL1:1100000000209369 |OrdNumL2:1100000000209476 |OrdNumL3:2100000000196182 |OrdNumL4:2100000000196183 |M2M:1506.70
2024-May-21 09:15:36 |FINNIFTY24521-21200-21500CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001110221 |OrdNumL2:1200000001111670 |OrdNumL3:1900000001049854 |OrdNumL4:1900000001049855 |M2M:1509.50
2024-May-21 09:15:36 |FINNIFTY24521-21200-21550CE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000001109701 |OrdNumL2:1200000001111671 |OrdNumL3:1900000001049856 |OrdNumL4:1900000001049857 |M2M:1509.50
2024-May-21 09:15:42 |FINNIFTY24521-21200-21500CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001291265 |OrdNumL2:1200000001291280 |OrdNumL3:1900000001194334 |OrdNumL4:1900000001194335 |M2M:1511.10
2024-May-21 09:15:43 |FINNIFTY24521-21300-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001307754 |OrdNumL2:1200000001308172 |OrdNumL3:1900000001212129 |OrdNumL4:1900000001212130 |M2M:1515.50
2024-May-21 09:15:43 |NIFTY24523-22200-22500CE |TRDPARITY:150 |QTY:2 |ParityWas:145 |OpnCls:1 |OrdNumL1:1000000000270446 |OrdNumL2:1100000000284323 |OrdNumL3:2100000000258948 |OrdNumL4:2000000000253436 |M2M:1561.50
2024-May-21 09:15:43 |NIFTY24523-22200-22600CE |TRDPARITY:145 |QTY:2 |ParityWas:145 |OpnCls:1 |OrdNumL1:1000000000270878 |OrdNumL2:1000000000271000 |OrdNumL3:2000000000253786 |OrdNumL4:2000000000253788 |M2M:1607.00
2024-May-21 09:15:45 |FINNIFTY24521-21200-21450CE |TRDPARITY:70 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:1200000001340089 |OrdNumL2:1200000001341308 |OrdNumL3:1900000001241175 |OrdNumL4:1900000001241176 |M2M:1619.80
2024-May-21 09:15:45 |FINNIFTY24521-21200-21450CE |TRDPARITY:70 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:1200000001341424 |OrdNumL2:1200000001341610 |OrdNumL3:1900000001241309 |OrdNumL4:1900000001241310 |M2M:1632.60
2024-May-21 09:15:45 |FINNIFTY24521-21200-21450CE |TRDPARITY:65 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:1200000001341709 |OrdNumL2:1200000001341797 |OrdNumL3:1900000001241380 |OrdNumL4:1900000001241381 |M2M:1641.40
2024-May-21 09:15:45 |FINNIFTY24521-21200-21450CE |TRDPARITY:65 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:1200000001341892 |OrdNumL2:1200000001341940 |OrdNumL3:1900000001241407 |OrdNumL4:1900000001241408 |M2M:1650.20
2024-May-21 09:15:45 |FINNIFTY24521-21300-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001345965 |OrdNumL2:1200000001346308 |OrdNumL3:1900000001245720 |OrdNumL4:1900000001245721 |M2M:1654.60
2024-May-21 09:15:48 |FINNIFTY24521-21250-21550CE |TRDPARITY:25 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000001420856 |OrdNumL2:1200000001423373 |OrdNumL3:1900000001310723 |OrdNumL4:1900000001310727 |M2M:1651.80
