--------------------2024-May-21 07:52:07------------------------------------
2024-May-21 09:22:44 |BANKNIFTY24522-49500-48200PE |TRDPARITY:447 |QTY:2 |ParityWas:400 |OpnCls:1 |OrdNumL1:1800000006182369 |OrdNumL2:1700000006284790 |OrdNumL3:1500000006665434 |OrdNumL4:1600000006536924 |M2M:1777.80
2024-May-21 09:24:15 |BANKNIFTY24522-49300-48100PE |TRDPARITY:390 |QTY:1 |ParityWas:215 |OpnCls:2 |OrdNumL1:1800000007190404 |OrdNumL2:1800000007273985 |OrdNumL3:1600000007745493 |OrdNumL4:1600000007745494 |M2M:1803.75
2024-May-21 09:25:48 |BANKNIFTY24522-48200-48100PE |TRDPARITY:25 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1700000008518093 |OrdNumL2:1800000008397448 |OrdNumL3:1600000008934829 |OrdNumL4:1500000009154735 |M2M:1791.00
2024-May-21 09:25:48 |BANKNIFTY24522-47900-48200CE |TRDPARITY:100 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1600000008934556 |OrdNumL2:1500000009154562 |OrdNumL3:1700000008518218 |OrdNumL4:1800000008397297 |M2M:1787.85
2024-May-21 09:25:48 |BANKNIFTY24522-47800-48200CE |TRDPARITY:105 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1500000009154443 |OrdNumL2:1500000009154560 |OrdNumL3:1700000008518216 |OrdNumL4:1700000008518217 |M2M:1784.10
2024-May-21 09:27:51 |BANKNIFTY24522-49500-48200PE |TRDPARITY:530 |QTY:2 |ParityWas:405 |OpnCls:1 |OrdNumL1:1800000009936473 |OrdNumL2:1700000010077777 |OrdNumL3:1500000010783067 |OrdNumL4:1600000010491539 |M2M:2001.60
2024-May-21 09:27:51 |BANKNIFTY24522-49500-48500PE |TRDPARITY:520 |QTY:2 |ParityWas:415 |OpnCls:1 |OrdNumL1:1800000009936476 |OrdNumL2:1800000009957471 |OrdNumL3:1600000010491530 |OrdNumL4:1600000010491532 |M2M:2001.60
2024-May-21 09:29:38 |BANKNIFTY24522-48400-48100PE |TRDPARITY:90 |QTY:1 |ParityWas:140 |OpnCls:2 |OrdNumL1:1700000011198259 |OrdNumL2:1800000011033096 |OrdNumL3:1600000011567927 |OrdNumL4:1500000011928858 |M2M:1996.95
2024-May-21 09:30:58 |BANKNIFTY24522-48900-48000PE |TRDPARITY:315 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1800000012272958 |OrdNumL2:1700000012440028 |OrdNumL3:1500000013250513 |OrdNumL4:1600000012848183 |M2M:2039.25
2024-May-21 09:50:21 |BANKNIFTY24522-48500-47900PE |TRDPARITY:165 |QTY:1 |ParityWas:105 |OpnCls:2 |OrdNumL1:1800000025517290 |OrdNumL2:1800000025517385 |OrdNumL3:1600000025727358 |OrdNumL4:1600000025727359 |M2M:2043.90
2024-May-21 09:50:21 |BANKNIFTY24522-48500-48000PE |TRDPARITY:135 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1800000025517288 |OrdNumL2:1700000026169079 |OrdNumL3:1500000026863864 |OrdNumL4:1600000025727357 |M2M:2046.00
2024-May-21 09:54:05 |BANKNIFTY24522-47700-48100CE |TRDPARITY:135 |QTY:2 |ParityWas:100 |OpnCls:2 |OrdNumL1:1600000027693158 |OrdNumL2:1600000027693203 |OrdNumL3:1800000027637708 |OrdNumL4:1800000027637709 |M2M:2050.80
2024-May-21 09:55:15 |BANKNIFTY24MAY-47400-48100CE |TRDPARITY:-1060 |QTY:2 |ParityWas:660 |OpnCls:1 |OrdNumL1:1400000017795242 |OrdNumL2:1400000017802242 |OrdNumL3:1400000017802244 |OrdNumL4:1400000017802247 |M2M:1673.70
2024-May-21 09:55:15 |BANKNIFTY24MAY-47400-48200CE |TRDPARITY:-915 |QTY:2 |ParityWas:710 |OpnCls:1 |OrdNumL1:1400000017795244 |OrdNumL2:1400000017802251 |OrdNumL3:1400000017802250 |OrdNumL4:1400000017802253 |M2M:673.50
2024-May-21 09:55:15 |BANKNIFTY24MAY-49100-48100PE |TRDPARITY:-1965 |QTY:2 |ParityWas:280 |OpnCls:2 |OrdNumL1:1400000017794735 |OrdNumL2:1400000017802254 |OrdNumL3:1400000017802255 |OrdNumL4:1400000017802256 |M2M:673.50
2024-May-21 09:55:15 |BANKNIFTY24MAY-48500-48200PE |TRDPARITY:-1090 |QTY:2 |ParityWas:235 |OpnCls:2 |OrdNumL1:1400000017797057 |OrdNumL2:1400000017802269 |OrdNumL3:1400000017802270 |OrdNumL4:1400000017802272 |M2M:-342.90
2024-May-21 09:55:15 |BANKNIFTY24MAY-49100-48200PE |TRDPARITY:-1832 |QTY:2 |ParityWas:285 |OpnCls:2 |OrdNumL1:1400000017794737 |OrdNumL2:1400000017802257 |OrdNumL3:1400000017802259 |OrdNumL4:1400000017802260 |M2M:-342.90
2024-May-21 09:55:15 |BANKNIFTY24MAY-49500-48100PE |TRDPARITY:-1060 |QTY:2 |ParityWas:245 |OpnCls:2 |OrdNumL1:1400000017797814 |OrdNumL2:1400000017802312 |OrdNumL3:1400000017802313 |OrdNumL4:1400000017802314 |M2M:-1533.00
2024-May-21 09:55:15 |BANKNIFTY24MAY-48500-48000PE |TRDPARITY:-1035 |QTY:2 |ParityWas:235 |OpnCls:2 |OrdNumL1:1400000017797058 |OrdNumL2:1400000017802273 |OrdNumL3:1400000017802274 |OrdNumL4:1400000017802276 |M2M:-1533.00
2024-May-21 09:55:15 |BANKNIFTY24MAY-49500-48500PE |TRDPARITY:-1055 |QTY:2 |ParityWas:190 |OpnCls:2 |OrdNumL1:1400000017797822 |OrdNumL2:1400000017802327 |OrdNumL3:1400000017802328 |OrdNumL4:1400000017802329 |M2M:-1533.00
2024-May-21 09:55:15 |BANKNIFTY24MAY-46500-48100CE |TRDPARITY:-585 |QTY:2 |ParityWas:1220 |OpnCls:1 |OrdNumL1:1400000017795284 |OrdNumL2:1400000017802330 |OrdNumL3:1400000017802331 |OrdNumL4:1400000017802332 |M2M:-3111.90
2024-May-21 09:55:15 |BANKNIFTY24MAY-48800-48100PE |TRDPARITY:-940 |QTY:2 |ParityWas:250 |OpnCls:2 |OrdNumL1:1400000017796058 |OrdNumL2:1400000017802348 |OrdNumL3:1400000017802349 |OrdNumL4:1400000017802353 |M2M:-3111.90
2024-May-21 09:55:15 |BANKNIFTY24MAY-48800-48200PE |TRDPARITY:-1460 |QTY:2 |ParityWas:255 |OpnCls:2 |OrdNumL1:1400000017795855 |OrdNumL2:1400000017802277 |OrdNumL3:1400000017802278 |OrdNumL4:1400000017802279 |M2M:-3111.90
2024-May-21 09:55:15 |BANKNIFTY24MAY-46500-48500CE |TRDPARITY:-607 |QTY:2 |ParityWas:1390 |OpnCls:1 |OrdNumL1:1400000017795292 |OrdNumL2:1400000017802343 |OrdNumL3:1400000017802341 |OrdNumL4:1400000017802345 |M2M:-3111.90
2024-May-21 09:55:15 |BANKNIFTY24MAY-47400-48000CE |TRDPARITY:-560 |QTY:2 |ParityWas:620 |OpnCls:1 |OrdNumL1:1400000017795424 |OrdNumL2:1400000017802303 |OrdNumL3:1400000017802304 |OrdNumL4:1400000017802306 |M2M:-3111.90
2024-May-21 09:55:15 |BANKNIFTY24MAY-48600-48200PE |TRDPARITY:-1170 |QTY:2 |ParityWas:245 |OpnCls:2 |OrdNumL1:1400000017796914 |OrdNumL2:1400000017802294 |OrdNumL3:1400000017802295 |OrdNumL4:1400000017802296 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24MAY-48700-48200PE |TRDPARITY:-850 |QTY:2 |ParityWas:250 |OpnCls:2 |OrdNumL1:1400000017799737 |OrdNumL2:1400000017802389 |OrdNumL3:1400000017802390 |OrdNumL4:1400000017802391 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24MAY-49500-48200PE |TRDPARITY:-960 |QTY:2 |ParityWas:240 |OpnCls:2 |OrdNumL1:1400000017797816 |OrdNumL2:1400000017802320 |OrdNumL3:1400000017802321 |OrdNumL4:1400000017802323 |M2M:-20607.60
