--------------------2024-May-21 07:50:05------------------------------------
--------------------2024-May-21 08:38:29------------------------------------
2024-May-21 09:17:19 |FINNIFTY24521-21400-21500CE |TRDPARITY:40 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003446531 |OrdNumL2:1200000003446819 |OrdNumL3:1900000003234244 |OrdNumL4:1900000003234245 |M2M:1619.90
2024-May-21 09:17:19 |FINNIFTY24521-21400-21500CE |TRDPARITY:65 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003454873 |OrdNumL2:1200000003455170 |OrdNumL3:1900000003242179 |OrdNumL4:1900000003242181 |M2M:1651.10
2024-May-21 09:17:22 |FINNIFTY24521-21400-21500CE |TRDPARITY:52 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003520469 |OrdNumL2:1200000003520579 |OrdNumL3:1900000003309140 |OrdNumL4:1900000003309143 |M2M:1673.50
2024-May-21 09:17:24 |FINNIFTY24521-21400-21450CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000003549592 |OrdNumL2:1200000003549959 |OrdNumL3:1900000003338581 |OrdNumL4:1900000003338583 |M2M:1683.50
2024-May-21 09:17:24 |FINNIFTY24521-21400-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000003549967 |OrdNumL2:1200000003550091 |OrdNumL3:1900000003338738 |OrdNumL4:1900000003338739 |M2M:1691.50
2024-May-21 09:17:24 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000003550985 |OrdNumL2:1200000003551011 |OrdNumL3:1900000003339767 |OrdNumL4:1900000003339768 |M2M:1703.50
2024-May-21 09:17:25 |FINNIFTY24521-21400-21500CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003564575 |OrdNumL2:1200000003565208 |OrdNumL3:1900000003355184 |OrdNumL4:1900000003355198 |M2M:1733.90
2024-May-21 09:17:25 |FINNIFTY24521-21400-21450CE |TRDPARITY:65 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000003564577 |OrdNumL2:1200000003565209 |OrdNumL3:1900000003355201 |OrdNumL4:1900000003355202 |M2M:1733.90
2024-May-21 09:17:25 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000003568552 |OrdNumL2:1200000003569449 |OrdNumL3:1900000003358219 |OrdNumL4:1900000003358220 |M2M:1745.90
2024-May-21 09:17:26 |FINNIFTY24521-21400-21500CE |TRDPARITY:35 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003570443 |OrdNumL2:1200000003588653 |OrdNumL3:1900000003377548 |OrdNumL4:1900000003377554 |M2M:1752.30
2024-May-21 09:17:26 |FINNIFTY24521-21400-21450CE |TRDPARITY:30 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000003587574 |OrdNumL2:1200000003588682 |OrdNumL3:1900000003377600 |OrdNumL4:1900000003377601 |M2M:1752.30
2024-May-21 09:17:26 |FINNIFTY24521-21400-21450CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000003589440 |OrdNumL2:1200000003589688 |OrdNumL3:1900000003378256 |OrdNumL4:1900000003378258 |M2M:1766.70
2024-May-21 09:17:26 |FINNIFTY24521-21400-21500CE |TRDPARITY:35 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003589577 |OrdNumL2:1200000003589692 |OrdNumL3:1900000003378259 |OrdNumL4:1900000003378260 |M2M:1766.70
2024-May-21 09:17:26 |FINNIFTY24521-21400-21450CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000003590562 |OrdNumL2:1200000003591029 |OrdNumL3:1900000003379560 |OrdNumL4:1900000003379562 |M2M:1776.70
2024-May-21 09:17:26 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000003592105 |OrdNumL2:1200000003592154 |OrdNumL3:1900000003381075 |OrdNumL4:1900000003381076 |M2M:1788.70
2024-May-21 09:17:27 |FINNIFTY24521-21400-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003608899 |OrdNumL2:1200000003609090 |OrdNumL3:1900000003398692 |OrdNumL4:1900000003398697 |M2M:1801.10
2024-May-21 09:17:28 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003629793 |OrdNumL2:1200000003630473 |OrdNumL3:1900000003420175 |OrdNumL4:1900000003420176 |M2M:1813.10
2024-May-21 09:17:28 |FINNIFTY24521-21400-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003632228 |OrdNumL2:1200000003632306 |OrdNumL3:1900000003421922 |OrdNumL4:1900000003421927 |M2M:1821.50
