--------------------2024-May-21 07:52:05------------------------------------
--------------------2024-May-21 07:57:06------------------------------------
2024-May-21 09:15:44 |FINNIFTY24521-21200-21500CE |TRDPARITY:75 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001321324 |OrdNumL2:1200000001326006 |OrdNumL3:1900000001227434 |OrdNumL4:1900000001227435 |M2M:2748.30
2024-May-21 09:15:48 |FINNIFTY24521-21250-21500CE |TRDPARITY:85 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000001401175 |OrdNumL2:1200000001420828 |OrdNumL3:1900000001308494 |OrdNumL4:1900000001308502 |M2M:2769.50
2024-May-21 09:15:48 |FINNIFTY24521-21250-21500CE |TRDPARITY:80 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000001423389 |OrdNumL2:1200000001426249 |OrdNumL3:1900000001313261 |OrdNumL4:1900000001313265 |M2M:2788.70
2024-May-21 09:16:02 |FINNIFTY24521-21400-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:45 |OpnCls:1 |OrdNumL1:1200000001774129 |OrdNumL2:1200000001775479 |OrdNumL3:1900000001626252 |OrdNumL4:1900000001626257 |M2M:2800.30
2024-May-21 09:16:28 |FINNIFTY24521-21450-21550CE |TRDPARITY:35 |QTY:1 |ParityWas:25 |OpnCls:2 |OrdNumL1:1200000002354313 |OrdNumL2:1200000002354438 |OrdNumL3:1900000002164803 |OrdNumL4:1900000002164805 |M2M:2801.50
2024-May-21 09:16:28 |FINNIFTY24521-21450-21550CE |TRDPARITY:35 |QTY:1 |ParityWas:25 |OpnCls:2 |OrdNumL1:1200000002355261 |OrdNumL2:1200000002355354 |OrdNumL3:1900000002165224 |OrdNumL4:1900000002165225 |M2M:2802.70
2024-May-21 09:16:28 |FINNIFTY24521-21450-21550CE |TRDPARITY:40 |QTY:1 |ParityWas:25 |OpnCls:2 |OrdNumL1:1200000002355397 |OrdNumL2:1200000002355968 |OrdNumL3:1900000002165627 |OrdNumL4:1900000002165628 |M2M:2805.90
2024-May-21 09:16:40 |BANKNIFTY24522-47200-48200CE |TRDPARITY:190 |QTY:1 |ParityWas:200 |OpnCls:2 |OrdNumL1:1500000000976011 |OrdNumL2:1500000000976625 |OrdNumL3:1700000000980570 |OrdNumL4:1700000000980572 |M2M:2805.45
2024-May-21 09:16:48 |BANKNIFTY24522-47500-48100CE |TRDPARITY:275 |QTY:1 |ParityWas:245 |OpnCls:1 |OrdNumL1:1600000000985632 |OrdNumL2:1600000000987698 |OrdNumL3:1800000001017510 |OrdNumL4:1800000001017512 |M2M:2829.30
2024-May-21 09:16:48 |BANKNIFTY24522-47500-48200CE |TRDPARITY:200 |QTY:1 |ParityWas:245 |OpnCls:1 |OrdNumL1:1600000000987687 |OrdNumL2:1500000001042894 |OrdNumL3:1700000001047701 |OrdNumL4:1800000001017746 |M2M:2842.50
2024-May-21 09:16:48 |FINNIFTY24521-21000-21500CE |TRDPARITY:75 |QTY:1 |ParityWas:75 |OpnCls:2 |OrdNumL1:1200000002732139 |OrdNumL2:1200000002736726 |OrdNumL3:1900000002536171 |OrdNumL4:1900000002536174 |M2M:2840.50
2024-May-21 09:17:03 |BANKNIFTY24522-48400-48000PE |TRDPARITY:150 |QTY:1 |ParityWas:140 |OpnCls:1 |OrdNumL1:1700000001237642 |OrdNumL2:1700000001237859 |OrdNumL3:1500000001221586 |OrdNumL4:1500000001221589 |M2M:2848.15
2024-May-21 09:17:04 |FINNIFTY24521-21800-21500PE |TRDPARITY:105 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1900000002876929 |OrdNumL2:1900000002877716 |OrdNumL3:1200000003112925 |OrdNumL4:1200000003112926 |M2M:2866.15
2024-May-21 09:17:04 |FINNIFTY24521-21800-21550PE |TRDPARITY:90 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1900000002876956 |OrdNumL2:1900000002878877 |OrdNumL3:1200000003113449 |OrdNumL4:1200000003113453 |M2M:2878.55
2024-May-21 09:17:06 |BANKNIFTY24522-46500-48100CE |TRDPARITY:385 |QTY:1 |ParityWas:225 |OpnCls:1 |OrdNumL1:1600000001190806 |OrdNumL2:1600000001199848 |OrdNumL3:1800000001245470 |OrdNumL4:1800000001245472 |M2M:2911.10
2024-May-21 09:17:25 |BANKNIFTY24522-49000-48000PE |TRDPARITY:350 |QTY:1 |ParityWas:290 |OpnCls:1 |OrdNumL1:1700000001500317 |OrdNumL2:1700000001503375 |OrdNumL3:1500000001474411 |OrdNumL4:1500000001474414 |M2M:2946.05
2024-May-21 09:17:26 |FINNIFTY24521-21400-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:1 |OrdNumL1:1200000003588184 |OrdNumL2:1200000003588482 |OrdNumL3:1900000003377256 |OrdNumL4:1900000003377261 |M2M:2953.65
2024-May-21 09:17:42 |BANKNIFTY24522-49000-48200PE |TRDPARITY:290 |QTY:1 |ParityWas:275 |OpnCls:1 |OrdNumL1:1700000001688928 |OrdNumL2:1700000001690207 |OrdNumL3:1500000001648130 |OrdNumL4:1500000001648131 |M2M:2979.00
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48200CE |TRDPARITY:245 |QTY:1 |ParityWas:220 |OpnCls:1 |OrdNumL1:1600000002189344 |OrdNumL2:1500000002240340 |OrdNumL3:1700000002297690 |OrdNumL4:1800000002265243 |M2M:2999.55
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48000CE |TRDPARITY:165 |QTY:1 |ParityWas:230 |OpnCls:1 |OrdNumL1:1600000002189348 |OrdNumL2:1500000002240343 |OrdNumL3:1700000002297693 |OrdNumL4:1800000002265247 |M2M:3006.75
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48100CE |TRDPARITY:95 |QTY:1 |ParityWas:225 |OpnCls:1 |OrdNumL1:1600000002189342 |OrdNumL2:1600000002189901 |OrdNumL3:1800000002265217 |OrdNumL4:1800000002265229 |M2M:3004.20
