--------------------2024-May-21 07:50:09------------------------------------
2024-May-21 09:15:55 |FINNIFTY24521-21300-21450CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001559647 |OrdNumL2:1200000001560067 |OrdNumL3:1900000001433408 |OrdNumL4:1900000001433409 |M2M:1509.70
2024-May-21 09:15:55 |FINNIFTY24521-21300-21450CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001566939 |OrdNumL2:1200000001566941 |OrdNumL3:1900000001441014 |OrdNumL4:1900000001441015 |M2M:1512.50
2024-May-21 09:15:56 |FINNIFTY24521-21300-21550CE |TRDPARITY:55 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001600110 |OrdNumL2:1200000001600144 |OrdNumL3:1900000001471005 |OrdNumL4:1900000001471006 |M2M:1517.30
2024-May-21 09:15:58 |FINNIFTY24521-21300-21550CE |TRDPARITY:60 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001625968 |OrdNumL2:1200000001626022 |OrdNumL3:1900000001495179 |OrdNumL4:1900000001495181 |M2M:1524.50
2024-May-21 09:15:58 |FINNIFTY24521-21400-21550CE |TRDPARITY:35 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000001625970 |OrdNumL2:1200000001626029 |OrdNumL3:1900000001495186 |OrdNumL4:1900000001495187 |M2M:1524.50
2024-May-21 09:15:58 |FINNIFTY24521-21300-21450CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000001643043 |OrdNumL2:1200000001643106 |OrdNumL3:1900000001513336 |OrdNumL4:1900000001513337 |M2M:1527.30
2024-May-21 09:15:59 |NIFTY24523-22300-22500CE |TRDPARITY:115 |QTY:3 |ParityWas:95 |OpnCls:1 |OrdNumL1:1100000000398065 |OrdNumL2:1100000000398183 |OrdNumL3:2100000000353859 |OrdNumL4:2100000000353860 |M2M:1572.30
2024-May-21 09:16:03 |NIFTY24523-22150-22550CE |TRDPARITY:85 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1100000000436692 |OrdNumL2:1100000000437852 |OrdNumL3:2100000000386202 |OrdNumL4:2100000000386203 |M2M:1573.30
2024-May-21 09:16:04 |NIFTY24MAY-22200-22500CE |TRDPARITY:330 |QTY:3 |ParityWas:255 |OpnCls:1 |OrdNumL1:1200000001793526 |OrdNumL2:1200000001813356 |OrdNumL3:1200000001813358 |OrdNumL4:1200000001813360 |M2M:1754.05
2024-May-21 09:16:04 |NIFTY24523-22150-22450CE |TRDPARITY:170 |QTY:2 |ParityWas:155 |OpnCls:1 |OrdNumL1:1100000000451380 |OrdNumL2:1000000000424655 |OrdNumL3:2000000000392971 |OrdNumL4:2100000000397023 |M2M:1867.05
2024-May-21 09:16:04 |NIFTY24523-22150-22500CE |TRDPARITY:175 |QTY:2 |ParityWas:155 |OpnCls:1 |OrdNumL1:1100000000451372 |OrdNumL2:1100000000451414 |OrdNumL3:2100000000397020 |OrdNumL4:2100000000397021 |M2M:1867.05
2024-May-21 09:16:09 |NIFTY24523-22150-22500CE |TRDPARITY:158 |QTY:2 |ParityWas:155 |OpnCls:1 |OrdNumL1:1100000000494782 |OrdNumL2:1100000000494784 |OrdNumL3:2100000000440183 |OrdNumL4:2100000000440185 |M2M:1917.05
2024-May-21 09:16:14 |NIFTY24523-22400-22550CE |TRDPARITY:40 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000504697 |OrdNumL2:1100000000536911 |OrdNumL3:2100000000480742 |OrdNumL4:2000000000474526 |M2M:1885.05
2024-May-21 09:16:14 |NIFTY24523-22400-22500CE |TRDPARITY:15 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000000504749 |OrdNumL2:1100000000536957 |OrdNumL3:2100000000480811 |OrdNumL4:2000000000474613 |M2M:1885.05
2024-May-21 09:16:14 |NIFTY24523-22400-22500CE |TRDPARITY:-10 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000000504858 |OrdNumL2:1100000000537115 |OrdNumL3:2100000000480960 |OrdNumL4:2000000000474759 |M2M:1850.55
2024-May-21 09:16:15 |NIFTY24523-22400-22550CE |TRDPARITY:-27 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000513818 |OrdNumL2:1100000000545945 |OrdNumL3:2100000000489373 |OrdNumL4:2000000000483202 |M2M:1807.05
2024-May-21 09:16:16 |NIFTY24523-22400-22500CE |TRDPARITY:50 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000000520704 |OrdNumL2:1100000000552711 |OrdNumL3:2100000000496378 |OrdNumL4:2000000000490650 |M2M:1804.80
2024-May-21 09:16:25 |NIFTY24523-22400-22550CE |TRDPARITY:50 |QTY:3 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000572101 |OrdNumL2:1100000000606538 |OrdNumL3:2100000000544009 |OrdNumL4:2000000000539935 |M2M:1797.30
2024-May-21 09:16:26 |NIFTY24523-22400-22500CE |TRDPARITY:40 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000000581812 |OrdNumL2:1100000000616998 |OrdNumL3:2100000000552935 |OrdNumL4:2000000000549213 |M2M:1787.80
2024-May-21 09:16:27 |NIFTY24523-22000-22450CE |TRDPARITY:230 |QTY:2 |ParityWas:195 |OpnCls:1 |OrdNumL1:1000000000587301 |OrdNumL2:1000000000587661 |OrdNumL3:2000000000554722 |OrdNumL4:2000000000554724 |M2M:1867.30
2024-May-21 09:16:30 |FINNIFTY24521-21250-21550CE |TRDPARITY:40 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1200000002374739 |OrdNumL2:1200000002374903 |OrdNumL3:1900000002184550 |OrdNumL4:1900000002184551 |M2M:1870.50
2024-May-21 09:16:32 |NIFTY24523-22400-22550CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000615067 |OrdNumL2:1100000000653442 |OrdNumL3:2100000000585811 |OrdNumL4:2000000000582219 |M2M:1868.00
2024-May-21 09:16:32 |NIFTY24523-22400-22500CE |TRDPARITY:30 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000000613606 |OrdNumL2:1100000000654215 |OrdNumL3:2100000000586546 |OrdNumL4:2000000000582934 |M2M:1839.50
2024-May-21 09:16:32 |NIFTY24523-22400-22550CE |TRDPARITY:32 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000615612 |OrdNumL2:1100000000654245 |OrdNumL3:2100000000586584 |OrdNumL4:2000000000582967 |M2M:1839.50
2024-May-21 09:16:35 |NIFTY24523-22400-22550CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000634108 |OrdNumL2:1100000000673814 |OrdNumL3:2100000000604356 |OrdNumL4:2000000000600789 |M2M:1837.00
2024-May-21 09:16:35 |NIFTY24523-22400-22550CE |TRDPARITY:55 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000634882 |OrdNumL2:1100000000674714 |OrdNumL3:2100000000605117 |OrdNumL4:2000000000601485 |M2M:1834.50
2024-May-21 09:16:35 |NIFTY24523-22450-22550CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000000637817 |OrdNumL2:1100000000678023 |OrdNumL3:2100000000608070 |OrdNumL4:2000000000604117 |M2M:1832.75
2024-May-21 09:16:35 |NIFTY24523-22400-22550CE |TRDPARITY:55 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000638203 |OrdNumL2:1100000000678631 |OrdNumL3:2100000000608704 |OrdNumL4:2000000000604636 |M2M:1830.25
2024-May-21 09:16:36 |NIFTY24523-22400-22550CE |TRDPARITY:60 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000640029 |OrdNumL2:1100000000680747 |OrdNumL3:2100000000610829 |OrdNumL4:2000000000606563 |M2M:1830.25
2024-May-21 09:16:36 |NIFTY24523-22400-22550CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000643632 |OrdNumL2:1100000000684531 |OrdNumL3:2100000000614871 |OrdNumL4:2000000000610377 |M2M:1827.75
2024-May-21 09:16:37 |NIFTY24523-22400-22550CE |TRDPARITY:55 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000645850 |OrdNumL2:1100000000687012 |OrdNumL3:2100000000617650 |OrdNumL4:2000000000613195 |M2M:1825.25
2024-May-21 09:16:37 |NIFTY24523-22400-22550CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000648259 |OrdNumL2:1100000000689590 |OrdNumL3:2100000000620269 |OrdNumL4:2000000000615801 |M2M:1824.00
2024-May-21 09:16:42 |NIFTY24523-22250-22450CE |TRDPARITY:105 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000000682425 |OrdNumL2:1000000000682569 |OrdNumL3:2000000000652457 |OrdNumL4:2000000000652458 |M2M:1836.00
2024-May-21 09:17:04 |FINNIFTY24521-21300-21450CE |TRDPARITY:15 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000003113976 |OrdNumL2:1200000003114139 |OrdNumL3:1900000002879534 |OrdNumL4:1900000002879535 |M2M:1825.60
2024-May-21 09:17:08 |NIFTY24523-22450-22550CE |TRDPARITY:35 |QTY:3 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000000873054 |OrdNumL2:1100000000939802 |OrdNumL3:2100000000867819 |OrdNumL4:2000000000862172 |M2M:1809.10
2024-May-21 09:17:13 |FINNIFTY24521-21400-21500CE |TRDPARITY:55 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003320333 |OrdNumL2:1200000003320356 |OrdNumL3:1900000003092176 |OrdNumL4:1900000003092177 |M2M:1832.30
2024-May-21 09:17:13 |NIFTY24523-22950-22550PE |TRDPARITY:225 |QTY:3 |ParityWas:170 |OpnCls:1 |OrdNumL1:2100000000915375 |OrdNumL2:2100000000915679 |OrdNumL3:1100000000987197 |OrdNumL4:1100000000987198 |M2M:1957.55
2024-May-21 09:17:15 |FINNIFTY24521-21350-21450CE |TRDPARITY:30 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000003364442 |OrdNumL2:1200000003364585 |OrdNumL3:1900000003144509 |OrdNumL4:1900000003144512 |M2M:1955.95
2024-May-21 09:17:16 |FINNIFTY24521-21400-21500CE |TRDPARITY:53 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003396065 |OrdNumL2:1200000003396217 |OrdNumL3:1900000003178593 |OrdNumL4:1900000003178595 |M2M:1977.55
2024-May-21 09:17:18 |FINNIFTY24521-21400-21500CE |TRDPARITY:57 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003429534 |OrdNumL2:1200000003430118 |OrdNumL3:1900000003218667 |OrdNumL4:1900000003218674 |M2M:2002.35
2024-May-21 09:17:19 |FINNIFTY24521-21550-21500PE |TRDPARITY:27 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1900000003241717 |OrdNumL2:1900000003241736 |OrdNumL3:1200000003454569 |OrdNumL4:1200000003454570 |M2M:1999.95
