--------------------2024-May-21 07:48:05------------------------------------
--------------------2024-May-21 07:56:21------------------------------------
2024-May-21 09:16:15 |NIFTY24523-21900-22550CE |TRDPARITY:328 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1100000000539908 |OrdNumL2:1100000000542016 |OrdNumL3:2100000000485359 |OrdNumL4:2100000000485364 |M2M:2378.50
2024-May-21 09:16:15 |NIFTY24523-21900-22450CE |TRDPARITY:290 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1100000000539910 |OrdNumL2:1000000000509890 |OrdNumL3:2000000000479168 |OrdNumL4:2100000000485368 |M2M:2378.50
2024-May-21 09:16:33 |NIFTY24523-23200-22450PE |TRDPARITY:210 |QTY:1 |ParityWas:135 |OpnCls:2 |OrdNumL1:2000000000592118 |OrdNumL2:2000000000593533 |OrdNumL3:1000000000626371 |OrdNumL4:1000000000626372 |M2M:2399.25
2024-May-21 09:17:29 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001047308 |OrdNumL2:1100000001123071 |OrdNumL3:2100000001051912 |OrdNumL4:2000000001048854 |M2M:2423.75
2024-May-21 09:17:29 |NIFTY24523-22400-22500CE |TRDPARITY:115 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001047333 |OrdNumL2:1100000001123175 |OrdNumL3:2100000001052015 |OrdNumL4:2000000001048972 |M2M:2455.75
2024-May-21 09:18:42 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001713800 |OrdNumL2:1100000001813210 |OrdNumL3:2100000001797472 |OrdNumL4:2000000001826925 |M2M:2480.25
2024-May-21 09:18:42 |NIFTY24523-22400-22500CE |TRDPARITY:80 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001713851 |OrdNumL2:1100000001813489 |OrdNumL3:2100000001797825 |OrdNumL4:2000000001827354 |M2M:2494.75
2024-May-21 09:20:18 |NIFTY24523-21900-22450CE |TRDPARITY:160 |QTY:2 |ParityWas:90 |OpnCls:2 |OrdNumL1:1100000002736691 |OrdNumL2:1000000002633828 |OrdNumL3:2000000002937618 |OrdNumL4:2100000002805444 |M2M:2519.75
2024-May-21 09:21:35 |NIFTY24523-22000-22450CE |TRDPARITY:65 |QTY:2 |ParityWas:75 |OpnCls:2 |OrdNumL1:1000000003254811 |OrdNumL2:1000000003255300 |OrdNumL3:2000000003629001 |OrdNumL4:2000000003629004 |M2M:2503.75
2024-May-21 09:21:38 |NIFTY24523-21700-22500CE |TRDPARITY:170 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1100000003386193 |OrdNumL2:1100000003406147 |OrdNumL3:2100000003461513 |OrdNumL4:2100000003461518 |M2M:2520.25
2024-May-21 09:21:54 |NIFTY24523-21850-22500CE |TRDPARITY:115 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1000000003415872 |OrdNumL2:1100000003556781 |OrdNumL3:2100000003604037 |OrdNumL4:2000000003807133 |M2M:2519.75
2024-May-21 09:23:48 |NIFTY24606-22100-22500CE |TRDPARITY:625 |QTY:1 |ParityWas:575 |OpnCls:1 |OrdNumL1:1900000011494084 |OrdNumL2:1900000011516748 |OrdNumL3:1900000011516750 |OrdNumL4:1900000011516751 |M2M:2628.00
2024-May-21 09:24:34 |NIFTY24MAY-22100-22600CE |TRDPARITY:85 |QTY:2 |ParityWas:90 |OpnCls:2 |OrdNumL1:1200000014012730 |OrdNumL2:1200000014012834 |OrdNumL3:1200000014012835 |OrdNumL4:1200000014012836 |M2M:2610.00
2024-May-21 09:25:19 |NIFTY24523-22000-22500CE |TRDPARITY:85 |QTY:1 |ParityWas:75 |OpnCls:2 |OrdNumL1:1000000005003932 |OrdNumL2:1100000005182589 |OrdNumL3:2100000005183946 |OrdNumL4:2000000005464362 |M2M:2618.75
2024-May-21 09:25:19 |NIFTY24523-22000-22550CE |TRDPARITY:130 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1000000005003907 |OrdNumL2:1100000005182599 |OrdNumL3:2100000005183956 |OrdNumL4:2000000005464371 |M2M:2618.75
