--------------------2024-May-21 07:50:05------------------------------------
--------------------2024-May-21 07:56:46------------------------------------
2024-May-21 09:16:48 |BANKNIFTY24522-47500-48100CE |TRDPARITY:250 |QTY:2 |ParityWas:225 |OpnCls:1 |OrdNumL1:1600000000985645 |OrdNumL2:1600000000987724 |OrdNumL3:1800000001017501 |OrdNumL4:1800000001017503 |M2M:1241.40
2024-May-21 09:16:48 |BANKNIFTY24522-47500-48200CE |TRDPARITY:165 |QTY:1 |ParityWas:220 |OpnCls:1 |OrdNumL1:1600000000987659 |OrdNumL2:1500000001042797 |OrdNumL3:1700000001047607 |OrdNumL4:1800000001017613 |M2M:1241.40
2024-May-21 09:16:48 |BANKNIFTY24522-47500-48000CE |TRDPARITY:155 |QTY:1 |ParityWas:230 |OpnCls:1 |OrdNumL1:1600000000987708 |OrdNumL2:1500000001042802 |OrdNumL3:1700000001047611 |OrdNumL4:1800000001017621 |M2M:1241.40
2024-May-21 09:16:48 |BANKNIFTY24522-47500-48200CE |TRDPARITY:280 |QTY:2 |ParityWas:220 |OpnCls:1 |OrdNumL1:1600000000987653 |OrdNumL2:1500000001042804 |OrdNumL3:1700000001047612 |OrdNumL4:1800000001017625 |M2M:1241.40
2024-May-21 09:16:52 |BANKNIFTY24522-46500-48100CE |TRDPARITY:285 |QTY:2 |ParityWas:185 |OpnCls:1 |OrdNumL1:1600000001029464 |OrdNumL2:1600000001030309 |OrdNumL3:1800000001069423 |OrdNumL4:1800000001069424 |M2M:1276.50
2024-May-21 09:16:57 |BANKNIFTY24522-47100-48000CE |TRDPARITY:175 |QTY:1 |ParityWas:150 |OpnCls:2 |OrdNumL1:1600000001082065 |OrdNumL2:1500000001142057 |OrdNumL3:1700000001158287 |OrdNumL4:1800000001128550 |M2M:1272.75
2024-May-21 09:17:04 |BANKNIFTY24522-47500-48000CE |TRDPARITY:130 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000001175769 |OrdNumL2:1500000001237599 |OrdNumL3:1700000001253202 |OrdNumL4:1800000001221920 |M2M:1269.30
2024-May-21 09:17:05 |BANKNIFTY24522-47500-48000CE |TRDPARITY:140 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000001182243 |OrdNumL2:1500000001244740 |OrdNumL3:1700000001260800 |OrdNumL4:1800000001228794 |M2M:1267.35
2024-May-21 09:17:06 |BANKNIFTY24522-46500-48100CE |TRDPARITY:385 |QTY:1 |ParityWas:185 |OpnCls:1 |OrdNumL1:1600000001190816 |OrdNumL2:1600000001199849 |OrdNumL3:1800000001245471 |OrdNumL4:1800000001245473 |M2M:1299.90
2024-May-21 09:17:13 |BANKNIFTY24522-47500-48000CE |TRDPARITY:135 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000001277691 |OrdNumL2:1500000001339689 |OrdNumL3:1700000001359575 |OrdNumL4:1800000001322057 |M2M:1295.25
2024-May-21 09:17:13 |BANKNIFTY24522-47500-48000CE |TRDPARITY:140 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000001277703 |OrdNumL2:1500000001339699 |OrdNumL3:1700000001359583 |OrdNumL4:1800000001322086 |M2M:1295.25
2024-May-21 09:17:13 |BANKNIFTY24522-47500-48000CE |TRDPARITY:140 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000001277711 |OrdNumL2:1500000001339707 |OrdNumL3:1700000001359588 |OrdNumL4:1800000001322091 |M2M:1290.90
2024-May-21 09:17:13 |BANKNIFTY24522-47500-48000CE |TRDPARITY:145 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000001277723 |OrdNumL2:1500000001339721 |OrdNumL3:1700000001359599 |OrdNumL4:1800000001322101 |M2M:1290.90
2024-May-21 09:17:13 |BANKNIFTY24522-47500-48000CE |TRDPARITY:145 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000001277727 |OrdNumL2:1500000001339732 |OrdNumL3:1700000001359606 |OrdNumL4:1800000001322107 |M2M:1290.90
2024-May-21 09:17:34 |BANKNIFTY24522-47600-48000CE |TRDPARITY:135 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1500000001567509 |OrdNumL2:1500000001567647 |OrdNumL3:1700000001603560 |OrdNumL4:1700000001603561 |M2M:1289.85
2024-May-21 09:17:37 |BANKNIFTY24522-47100-48000CE |TRDPARITY:220 |QTY:2 |ParityWas:150 |OpnCls:2 |OrdNumL1:1600000001519253 |OrdNumL2:1500000001606155 |OrdNumL3:1700000001644983 |OrdNumL4:1800000001600742 |M2M:1295.85
2024-May-21 09:17:42 |BANKNIFTY24522-49000-48200PE |TRDPARITY:290 |QTY:2 |ParityWas:265 |OpnCls:1 |OrdNumL1:1700000001688936 |OrdNumL2:1700000001690203 |OrdNumL3:1500000001648128 |OrdNumL4:1500000001648129 |M2M:1346.55
2024-May-21 09:17:46 |BANKNIFTY24522-47500-48200CE |TRDPARITY:140 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001636492 |OrdNumL2:1500000001692531 |OrdNumL3:1700000001734001 |OrdNumL4:1800000001689603 |M2M:1344.00
2024-May-21 09:17:46 |BANKNIFTY24522-47500-48200CE |TRDPARITY:140 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001636507 |OrdNumL2:1500000001692541 |OrdNumL3:1700000001734031 |OrdNumL4:1800000001689610 |M2M:1341.45
2024-May-21 09:17:47 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001647432 |OrdNumL2:1500000001703782 |OrdNumL3:1700000001744565 |OrdNumL4:1800000001699988 |M2M:1337.40
2024-May-21 09:17:47 |BANKNIFTY24522-47500-48200CE |TRDPARITY:110 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001647556 |OrdNumL2:1500000001703891 |OrdNumL3:1700000001744680 |OrdNumL4:1800000001700137 |M2M:1330.35
2024-May-21 09:17:53 |BANKNIFTY24522-47500-48200CE |TRDPARITY:145 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001720355 |OrdNumL2:1500000001777323 |OrdNumL3:1700000001815241 |OrdNumL4:1800000001773481 |M2M:1326.75
2024-May-21 09:17:57 |BANKNIFTY24522-47300-48200CE |TRDPARITY:173 |QTY:2 |ParityWas:140 |OpnCls:2 |OrdNumL1:1600000001765727 |OrdNumL2:1500000001820668 |OrdNumL3:1700000001855501 |OrdNumL4:1800000001815906 |M2M:1324.95
2024-May-21 09:18:03 |BANKNIFTY24522-47500-48200CE |TRDPARITY:145 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001859788 |OrdNumL2:1500000001914399 |OrdNumL3:1700000001943175 |OrdNumL4:1800000001905658 |M2M:1323.15
2024-May-21 09:18:05 |BANKNIFTY24522-49500-48000PE |TRDPARITY:205 |QTY:1 |ParityWas:95 |OpnCls:2 |OrdNumL1:1800000001924300 |OrdNumL2:1700000001969683 |OrdNumL3:1500000001942416 |OrdNumL4:1600000001888878 |M2M:1315.50
