--------------------2024-May-21 07:45:05------------------------------------
--------------------2024-May-21 07:57:26------------------------------------
2024-May-21 09:17:32 |FINNIFTY24521-21200-21400CE |TRDPARITY:45 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000003719462 |OrdNumL2:1200000003720080 |OrdNumL3:1900000003505033 |OrdNumL4:1900000003505034 |M2M:745.20
2024-May-21 09:17:32 |FINNIFTY24521-21200-21400CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000003720084 |OrdNumL2:1200000003721235 |OrdNumL3:1900000003506018 |OrdNumL4:1900000003506019 |M2M:742.80
2024-May-21 09:18:19 |NIFTY24523-22400-22450CE |TRDPARITY:110 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001468135 |OrdNumL2:1000000001468228 |OrdNumL3:2000000001523008 |OrdNumL4:2000000001523009 |M2M:756.80
2024-May-21 09:18:42 |NIFTY24523-22400-22500CE |TRDPARITY:105 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001713799 |OrdNumL2:1100000001813206 |OrdNumL3:2100000001797471 |OrdNumL4:2000000001826924 |M2M:784.30
2024-May-21 09:19:11 |MIDCPNIFTY24MAY-11000-11350CE |TRDPARITY:325 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1400000001261078 |OrdNumL2:1400000001295556 |OrdNumL3:1300000000809986 |OrdNumL4:1300000000809987 |M2M:992.05
2024-May-21 09:20:19 |FINNIFTY24MAY-21600-21400PE |TRDPARITY:218 |QTY:2 |ParityWas:110 |OpnCls:2 |OrdNumL1:1900000006895979 |OrdNumL2:1900000006901568 |OrdNumL3:1200000007231771 |OrdNumL4:1200000007231772 |M2M:1100.05
2024-May-21 09:20:30 |FINNIFTY24521-21300-21500CE |TRDPARITY:40 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000007465730 |OrdNumL2:1200000007466003 |OrdNumL3:1900000007088517 |OrdNumL4:1900000007088518 |M2M:1100.05
2024-May-21 09:20:47 |FINNIFTY24521-21450-21500CE |TRDPARITY:15 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000007973425 |OrdNumL2:1200000007974135 |OrdNumL3:1900000007516119 |OrdNumL4:1900000007516120 |M2M:1091.25
2024-May-21 09:21:02 |MIDCPNIFTY24MAY-11000-11350CE |TRDPARITY:420 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1400000002143013 |OrdNumL2:1400000002158767 |OrdNumL3:1300000001278455 |OrdNumL4:1300000001278456 |M2M:1370.25
2024-May-21 09:21:35 |NIFTY24523-22000-22450CE |TRDPARITY:65 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000003254795 |OrdNumL2:1000000003255299 |OrdNumL3:2000000003629007 |OrdNumL4:2000000003629009 |M2M:1353.75
2024-May-21 09:21:35 |NIFTY24523-22000-22450CE |TRDPARITY:60 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000003255353 |OrdNumL2:1000000003255983 |OrdNumL3:2000000003629820 |OrdNumL4:2000000003629822 |M2M:1334.75
2024-May-21 09:21:57 |NIFTY24523-22900-22500PE |TRDPARITY:145 |QTY:1 |ParityWas:95 |OpnCls:2 |OrdNumL1:2100000003630579 |OrdNumL2:2100000003635061 |OrdNumL3:1100000003591485 |OrdNumL4:1100000003591486 |M2M:1350.00
2024-May-21 09:23:42 |FINNIFTY24MAY-21600-21400PE |TRDPARITY:80 |QTY:2 |ParityWas:155 |OpnCls:1 |OrdNumL1:1900000011359613 |OrdNumL2:1900000011399502 |OrdNumL3:1200000012947043 |OrdNumL4:1200000012947045 |M2M:1358.00
2024-May-21 09:25:07 |FINNIFTY24MAY-21450-21500CE |TRDPARITY:220 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1200000014623755 |OrdNumL2:1200000014659129 |OrdNumL3:1900000012834523 |OrdNumL4:1900000012834524 |M2M:1414.40
2024-May-21 09:27:17 |FINNIFTY24521-21300-21500CE |TRDPARITY:20 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000017441401 |OrdNumL2:1200000017444232 |OrdNumL3:1900000015363950 |OrdNumL4:1900000015363952 |M2M:1396.80
2024-May-21 09:27:30 |FINNIFTY24521-21800-21500PE |TRDPARITY:120 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000015566467 |OrdNumL2:1900000015646151 |OrdNumL3:1200000017755048 |OrdNumL4:1200000017755049 |M2M:1465.60
2024-May-21 09:27:37 |NIFTY24523-23000-22550PE |TRDPARITY:203 |QTY:2 |ParityWas:195 |OpnCls:1 |OrdNumL1:2000000006589420 |OrdNumL2:2100000006223172 |OrdNumL3:1100000006140531 |OrdNumL4:1000000005971858 |M2M:1534.60
2024-May-21 09:27:49 |FINNIFTY24521-21800-21500PE |TRDPARITY:125 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000015906142 |OrdNumL2:1900000015944984 |OrdNumL3:1200000018104014 |OrdNumL4:1200000018104019 |M2M:1607.40
2024-May-21 09:28:03 |FINNIFTY24521-21000-21500CE |TRDPARITY:120 |QTY:2 |ParityWas:90 |OpnCls:2 |OrdNumL1:1200000018339736 |OrdNumL2:1200000018375680 |OrdNumL3:1900000016178986 |OrdNumL4:1900000016178988 |M2M:1639.40
2024-May-21 09:29:40 |FINNIFTY24521-21800-21500PE |TRDPARITY:-50 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1900000017694490 |OrdNumL2:1900000017703988 |OrdNumL3:1200000020158053 |OrdNumL4:1200000020158054 |M2M:1597.40
2024-May-21 09:29:40 |FINNIFTY24521-21800-21400PE |TRDPARITY:-35 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1900000017694503 |OrdNumL2:1900000017703993 |OrdNumL3:1200000020158066 |OrdNumL4:1200000020158068 |M2M:1470.20
2024-May-21 09:29:40 |FINNIFTY24521-21850-21500PE |TRDPARITY:0 |QTY:2 |ParityWas:70 |OpnCls:2 |OrdNumL1:1900000017693929 |OrdNumL2:1900000017703997 |OrdNumL3:1200000020158071 |OrdNumL4:1200000020158072 |M2M:1470.20
2024-May-21 09:29:40 |FINNIFTY24521-21850-21400PE |TRDPARITY:20 |QTY:2 |ParityWas:80 |OpnCls:2 |OrdNumL1:1900000017693934 |OrdNumL2:1900000017703998 |OrdNumL3:1200000020158074 |OrdNumL4:1200000020158075 |M2M:1470.20
2024-May-21 09:30:07 |FINNIFTY24521-21400-21500CE |TRDPARITY:40 |QTY:2 |ParityWas:45 |OpnCls:1 |OrdNumL1:1200000020959012 |OrdNumL2:1200000020959656 |OrdNumL3:1900000018412248 |OrdNumL4:1900000018412249 |M2M:1484.60
2024-May-21 09:30:38 |FINNIFTY24521-21300-21400CE |TRDPARITY:35 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000021684309 |OrdNumL2:1200000021687864 |OrdNumL3:1900000019132220 |OrdNumL4:1900000019132222 |M2M:1487.80
2024-May-21 09:30:38 |FINNIFTY24521-21300-21500CE |TRDPARITY:47 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000021686903 |OrdNumL2:1200000021687874 |OrdNumL3:1900000019132226 |OrdNumL4:1900000019132227 |M2M:1487.80
2024-May-21 09:31:29 |FINNIFTY24521-21300-21600CE |TRDPARITY:45 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000022771032 |OrdNumL2:1200000022771097 |OrdNumL3:1900000020179759 |OrdNumL4:1900000020179760 |M2M:1486.20
2024-May-21 09:31:37 |FINNIFTY24521-21300-21600CE |TRDPARITY:60 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000022913690 |OrdNumL2:1200000022914113 |OrdNumL3:1900000020313670 |OrdNumL4:1900000020313671 |M2M:1490.60
2024-May-21 09:32:00 |FINNIFTY24521-21300-21600CE |TRDPARITY:15 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000023400488 |OrdNumL2:1200000023406777 |OrdNumL3:1900000020789609 |OrdNumL4:1900000020789611 |M2M:1477.00
2024-May-21 09:32:03 |FINNIFTY24521-21300-21400CE |TRDPARITY:45 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000023493951 |OrdNumL2:1200000023494795 |OrdNumL3:1900000020891417 |OrdNumL4:1900000020891421 |M2M:1480.60
2024-May-21 09:33:58 |NIFTY24523-22000-22500CE |TRDPARITY:55 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000008366220 |OrdNumL2:1100000008507238 |OrdNumL3:2100000008716411 |OrdNumL4:2000000009317464 |M2M:1460.10
2024-May-21 09:34:26 |FINNIFTY24521-21300-21600CE |TRDPARITY:70 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026188558 |OrdNumL2:1200000026189635 |OrdNumL3:1900000023521972 |OrdNumL4:1900000023521973 |M2M:1469.30
2024-May-21 09:34:26 |FINNIFTY24521-21300-21500CE |TRDPARITY:95 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000026197348 |OrdNumL2:1200000026199447 |OrdNumL3:1900000023532778 |OrdNumL4:1900000023532781 |M2M:1452.10
2024-May-21 09:34:26 |FINNIFTY24521-21300-21600CE |TRDPARITY:-75 |QTY:1 |ParityWas:90 |OpnCls:1 |OrdNumL1:1200000026192420 |OrdNumL2:1200000026193995 |OrdNumL3:1900000023527152 |OrdNumL4:1900000023527159 |M2M:1452.10
2024-May-21 09:34:26 |FINNIFTY24521-21300-21400CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000026196999 |OrdNumL2:1200000026201038 |OrdNumL3:1900000023534743 |OrdNumL4:1900000023534759 |M2M:1461.70
