--------------------2024-May-21 07:50:07------------------------------------
2024-May-21 09:26:03 |NIFTY24523-22750-22500PE |TRDPARITY:100 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:2100000005525614 |OrdNumL2:2100000005525712 |OrdNumL3:1100000005503417 |OrdNumL4:1100000005503419 |M2M:1274.75
2024-May-21 09:28:22 |NIFTY24523-21800-23000CE |TRDPARITY:185 |QTY:1 |ParityWas:185 |OpnCls:1 |OrdNumL1:1000000006264409 |OrdNumL2:1000000006279253 |OrdNumL3:2000000006947018 |OrdNumL4:2000000006947020 |M2M:1299.25
2024-May-21 09:28:27 |NIFTY24523-22750-22500PE |TRDPARITY:-10 |QTY:2 |ParityWas:70 |OpnCls:2 |OrdNumL1:2100000006589890 |OrdNumL2:2100000006590450 |OrdNumL3:1100000006479959 |OrdNumL4:1100000006479960 |M2M:1259.75
2024-May-21 09:29:09 |NIFTY24523-22750-22500PE |TRDPARITY:70 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:2100000006857083 |OrdNumL2:2100000006857102 |OrdNumL3:1100000006727556 |OrdNumL4:1100000006727557 |M2M:1260.00
2024-May-21 09:33:00 |NIFTY24523-22700-22500PE |TRDPARITY:70 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000008348937 |OrdNumL2:2100000008348953 |OrdNumL3:1100000008153206 |OrdNumL4:1100000008153207 |M2M:1261.75
2024-May-21 09:33:01 |NIFTY24523-22700-22500PE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000008353055 |OrdNumL2:2100000008353059 |OrdNumL3:1100000008156771 |OrdNumL4:1100000008156772 |M2M:1261.00
2024-May-21 09:36:38 |NIFTY24523-22700-22500PE |TRDPARITY:70 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000009598070 |OrdNumL2:2100000009599246 |OrdNumL3:1100000009357405 |OrdNumL4:1100000009357406 |M2M:1262.75
2024-May-21 09:38:40 |NIFTY24523-22800-22500PE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2000000010972590 |OrdNumL2:2100000010255896 |OrdNumL3:1100000009996374 |OrdNumL4:1000000009796466 |M2M:1261.00
2024-May-21 09:40:20 |NIFTY24523-22800-22500PE |TRDPARITY:80 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2000000011750993 |OrdNumL2:2100000010969780 |OrdNumL3:1100000010679923 |OrdNumL4:1000000010443767 |M2M:1263.00
2024-May-21 09:49:08 |NIFTY24MAY-24000-22600PE |TRDPARITY:800 |QTY:2 |ParityWas:770 |OpnCls:1 |OrdNumL1:1200000041276931 |OrdNumL2:1200000041290435 |OrdNumL3:1200000041290437 |OrdNumL4:1200000041290444 |M2M:1590.00
2024-May-21 09:55:20 |NIFTY24523-21700-22500CE |TRDPARITY:265 |QTY:1 |ParityWas:250 |OpnCls:1 |OrdNumL1:1100000014870386 |OrdNumL2:1100000014908167 |OrdNumL3:2100000015227979 |OrdNumL4:2100000015227980 |M2M:1636.75
2024-May-21 10:10:53 |NIFTY24523-22950-22450PE |TRDPARITY:40 |QTY:1 |ParityWas:160 |OpnCls:1 |OrdNumL1:2100000019647976 |OrdNumL2:2000000020794415 |OrdNumL3:1000000018574415 |OrdNumL4:1100000019062215 |M2M:1632.50
2024-May-21 10:13:40 |NIFTY24523-22200-22550CE |TRDPARITY:70 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1000000019121290 |OrdNumL2:1100000019618245 |OrdNumL3:2100000020269590 |OrdNumL4:2000000021383520 |M2M:1632.00
2024-May-21 10:15:33 |NIFTY24523-22950-22500PE |TRDPARITY:-110 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:2100000020725164 |OrdNumL2:2100000020726419 |OrdNumL3:1100000020036445 |OrdNumL4:1100000020036446 |M2M:1582.00
2024-May-21 10:16:05 |NIFTY24523-22000-22450CE |TRDPARITY:80 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000019719320 |OrdNumL2:1000000019720362 |OrdNumL3:2000000022024873 |OrdNumL4:2000000022024876 |M2M:1579.00
2024-May-21 10:16:07 |NIFTY24523-22000-22450CE |TRDPARITY:120 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000019738499 |OrdNumL2:1000000019742036 |OrdNumL3:2000000022044986 |OrdNumL4:2000000022044991 |M2M:1586.50
2024-May-21 10:16:07 |NIFTY24523-22000-22450CE |TRDPARITY:85 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000019742983 |OrdNumL2:1000000019743024 |OrdNumL3:2000000022046113 |OrdNumL4:2000000022046117 |M2M:1585.25
2024-May-21 10:16:18 |NIFTY24523-22200-22450CE |TRDPARITY:20 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000019797913 |OrdNumL2:1000000019798077 |OrdNumL3:2000000022102418 |OrdNumL4:2000000022102419 |M2M:1573.75
2024-May-21 10:20:44 |NIFTY24523-22300-22450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1100000021210196 |OrdNumL2:1000000020663381 |OrdNumL3:2000000023051065 |OrdNumL4:2100000021924928 |M2M:1574.25
2024-May-21 10:22:35 |NIFTY24523-22200-22450CE |TRDPARITY:50 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000021002012 |OrdNumL2:1000000021002540 |OrdNumL3:2000000023441371 |OrdNumL4:2000000023441372 |M2M:1570.25
2024-May-21 10:22:45 |NIFTY24523-22000-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000021028021 |OrdNumL2:1000000021029426 |OrdNumL3:2000000023471334 |OrdNumL4:2000000023471336 |M2M:1561.50
2024-May-21 10:22:55 |NIFTY24523-22200-22450CE |TRDPARITY:45 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000021053905 |OrdNumL2:1000000021055340 |OrdNumL3:2000000023498482 |OrdNumL4:2000000023498483 |M2M:1556.25
2024-May-21 10:23:36 |NIFTY24523-22000-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000021166558 |OrdNumL2:1000000021166565 |OrdNumL3:2000000023619467 |OrdNumL4:2000000023619468 |M2M:1547.50
2024-May-21 10:23:39 |NIFTY24523-22200-22450CE |TRDPARITY:50 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000021176067 |OrdNumL2:1000000021176080 |OrdNumL3:2000000023629985 |OrdNumL4:2000000023629986 |M2M:1543.50
2024-May-21 10:24:07 |NIFTY24523-22200-22450CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000021233894 |OrdNumL2:1000000021234113 |OrdNumL3:2000000023695817 |OrdNumL4:2000000023695820 |M2M:1539.50
2024-May-21 10:24:07 |NIFTY24523-22200-22450CE |TRDPARITY:25 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000021234195 |OrdNumL2:1000000021234262 |OrdNumL3:2000000023695960 |OrdNumL4:2000000023695961 |M2M:1529.25
2024-May-21 10:24:19 |NIFTY24523-22200-22450CE |TRDPARITY:60 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000021261358 |OrdNumL2:1000000021261516 |OrdNumL3:2000000023727190 |OrdNumL4:2000000023727191 |M2M:1527.75
2024-May-21 10:24:21 |NIFTY24523-22200-22450CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000021268069 |OrdNumL2:1000000021268163 |OrdNumL3:2000000023735550 |OrdNumL4:2000000023735552 |M2M:1523.75
2024-May-21 10:24:22 |NIFTY24523-22200-22450CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000021270021 |OrdNumL2:1000000021270279 |OrdNumL3:2000000023738185 |OrdNumL4:2000000023738186 |M2M:1519.75
2024-May-21 10:24:59 |NIFTY24523-22000-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000021405677 |OrdNumL2:1000000021406097 |OrdNumL3:2000000023887545 |OrdNumL4:2000000023887546 |M2M:1510.50
2024-May-21 10:24:59 |NIFTY24523-22000-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000021406106 |OrdNumL2:1000000021406156 |OrdNumL3:2000000023887598 |OrdNumL4:2000000023887599 |M2M:1501.25
2024-May-21 10:25:10 |NIFTY24523-22300-22550CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1100000022082700 |OrdNumL2:1100000022082726 |OrdNumL3:2100000022807233 |OrdNumL4:2100000022807234 |M2M:1500.75
